level_0,index,brand,product,product_type,price,rating,details,ingredients,url,store
89,86,CoverGirl,Online Only Cheekers Blush,blush,5.49,4.1,"Blush's basic rules-it has to be easy, and it has to look natural. That's Cheekers. Each portable mini-compact gives you a sheer blush that goes on to stay true, stay natural-looking for hours. It's the way to glow! Stays natural for hours.  Easy and Natural.  Dermatologically-Tested.","All-Day Colorcoat: Isododecane, Trimethylsiloxysilicate, Dimethicone, Disteardimonium Hectorite, Propylparaben, Propylene Carbonate, Simmondsia Chinensis (Jojoba) Seed Oil, Camellia Sinensis Leaf Extract, Tocopheryl Acetate, Flavor/Aroma. May Contain: Mica, Titanium Dioxide, Iron Oxides, Red 30 Lake, Carmine, Yellow 5 Lake, Blue 1 Lake, Red 6, Red 7 Lake, Yellow 6 Lake.Moisturizing Topcoat: Sucrose Polycottonseedate, Ozokerite, Beeswax, Tocopheryl Acetate, Tocopherol, Propyl Gallate, Propylparaben, Acetyl Glucosamine, Cocos Nucifera (Coconut Oil), Aloe Barbadensis Leaf Extract, Theobroma Cacao (Cocoa) Seed Butter, Butyrospermum Parkii (Shea Butter), Sodium Saccharin, Flavor/Aroma.",https://www.ulta.com/cheekers-blush?productId=xlsImpprod641131,Ulta
96,93,Lottie London,Online Only Blush Crush Powder Blusher,blush,5.49,4.5,"A collection of easily blendable powder blushes, inspired by your favorite male celeb crushes! Achieve perfectly pinched cheeks worthy of any selfie queen with Lottie London's Blush Crush Powder Blusher. Available in beautiful and long-lasting shades to intensify your rosy glow. Simply swirl and pop onto cheekbones!","Zayn: Talc, Mica, Magnesium Stearate, Aluminum Starch Octenylsuccinate, Silica, Dimethicone, Ethylhexyl Palmitate, Polyisobutene, Synthetic Wax, Phenoxyethanol, Mineral Oil (Paraffinum Liquidum), Ethylhexyl Methoxycinnamate, Butyl Methoxydibenzoylmethane, Diethylhexyl Syringylidenemalonate, Ethylhexylglycerin, Caprylic / Capric Triglyceride. May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Red 6 Lake (CI 15850), Red 7 Lake (CI 15850), Yellow 5 Lake (CI 19140).",https://www.ulta.com/blush-crush-powder-blusher?productId=xlsImpprod16241276,Ulta
74,71,Maybelline,Fit Me Blush,blush,5.99,3.9,Enhance skin tone with Maybelline's natural Fit Me Blush. Now Fit happens with a flattering natural yet noticeable blush!Benefits:True-to-tone color blends seamlesslyCreamy and smooth texture for effortless blendingAvailable in a collection of shades designed to complement any skin toneWears evenly,"Talc, Magnesium Stearate, Triisostearin, Phenyl Trimethicone, Synthetic Fluorphlogopite, Caprylyl Glycol, Alumina, Silica, Magnesium Silicate, Calcium Sodium Borosilicate, Calcium Aluminum Borosilicate, Tin Oxide. May Contain: Mica, CI 77891 / Titanium Dioxide, CI 77491, CI 77492, CI 77499 / Iron Oxides, CI 77007 / Ultramarines, CI 75470 / Carmine, CI 15850 / Red 7, CI 45410 / Red 28 Lake, CI 15985 / Yellow 6 Lake, CI 77742 / Manganese Violet, CI 73360 / Red 30 Lake, CI 15850 / Red 6 CI 19140 / Yellow 5 Lake, CI 15850 / Red 7 Lake, CI 77400 / Bronze Powder, CI 42090 / Blue 1 Lake, CI 45410 / Red 27, CI 77163 / Bismuth Oxychloride, CI 77400 / Copper Powder, CI 77000 / Aluminum Powder, CI 77510 / Ferric Ammonium Ferrocyanide, CI 16035 / Red 40 Lake, CI 77510 / Ferric Ferrocyanide.",https://www.ulta.com/fit-me-blush?productId=xlsImpprod16211171,Ulta
32,31,e.l.f. Cosmetics,Primer-Infused Blush,blush,6.0,4.4,"The Primer-Infused Blush by e.l.f. Cosmetics long-wear, matte blush is infused with lock on primer powder to ensure a full day of perfectly placed blush. This blush is easy to blend, perfectly pigmented for ease of application, and grips your cheeks like second skin.","Talc, Dimethicone, Silica, Nylon-12, Magnesium Stearate, Magnesium Palmitate, Boron Nitride, PTFE, Ethylhexyl Palmitate, Triethoxycaprylylsilane, Tocopheryl Acetate (Ve), Simmondsia Chinensis (Jojoba) Seed Oil, Butyrospermum Parkii (Shea) Butter, Bambusa Arundinacea (Bamboo) Stem Powder, Phenoxyethanol, Caprylyl Glycol. May Contain: Mica (CI 77019), Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Ultramarines (CI 77007), Manganese Violet (CI 77742), Red 40 Lake (CI 16035), Yellow 5 Lake (CI 19140), Red 6 Lake (CI 15850), Red 7 Lake (CI 15850).",https://www.ulta.com/primer-infused-blush?productId=pimprod2003079,Ulta
39,39,NYX Professional Makeup,Sweet Cheeks Creamy Powder Blush (Matte),blush,7.5,4.4,"Hey, cheeky! Fake the perfect flush with NYX Professional Makeup Sweet Cheeks Creamy Powder Blush, our new super-smooth formula that delivers beautifully pigmented color with a true matte finish. Available in both traditional tones (pinks, corals and berries) and artistry-inspired shades of purple and yellow, each silky powder blends with ease. Add this high pigmented, super-smooth blush to your makeup kit for a glowy, flawlessly flushed look. Vegan formula micronized powder pigments deliver soft, blendable coverage. Featuring a vegan formula with no animal-derived ingredients or by-products. All NYX Professional Makeup products are proudly cruelty-free and PETA certified.Benefits:Super-pigmented shades of powder blush with a matte finish & a creamy smooth textureBlended with finely milled powder for flawless applicationSuperfine, micronized powder pigments are soft & blendableCruelty-freeVegan formula* (no animal-derived ingredient or by-product)","Talc, Nylon-12, Ethylhexyl Palmitate, Trimethylsiloxyphenyl Dimethicone, Zinc Oxide [nano] / Zinc Oxide, Isostearyl Isostearate, Octyldodecanol, Barium Sulfate, Alumina, Aluminum Hydroxide, Caprylyl Glycol, Octyldodecyl Stearoyl Stearate, Phenoxyethanol. May Contain: CI 15850 / Red 7 Lake, CI 45410 / Red 28 Lake, CI 77007 / Ultramarines, CI 77491, CI 77492, CI 77499 / Iron Oxides, CI 77891 / Titanium Dioxide, Mica, CI 15850 / Red 6, CI 19140 / Yellow 5 Lake, CI 42090 / Blue 1 Lake.",https://www.ulta.com/sweet-cheeks-creamy-powder-blush-matte?productId=pimprod2007000,Ulta
84,79,NYX Professional Makeup,Sweet Cheeks Creamy Powder Blush (Glow),blush,7.5,4.3,"Hey, cheeky! Sweep your cheeks in radiant color with NYX Professional Makeup Sweet Cheeks Creamy Powder Blush, our new cheek-flattering formula that delivers a gorgeous flush of beautifully pigmented color with a glowy finish. Available in both traditional tones (pinks, corals and berries) and artistry-inspired shades of purple and yellow, each silky powder blends with ease. Add this high pigmented, super-smooth blush to your makeup kit for a glowy, flawlessly flushed look. Vegan formula micronized powder pigments deliver soft, blendable coverage. This blush is just what you need to fake the perfect flush. Featuring a vegan formula with no animal-derived ingredients or by-products. All NYX Professional Makeup products are proudly cruelty-free and PETA certified.Benefits:Super-pigmented shades of powder blush with a creamy-smooth texture & a shimmering finishPart cheek color, part highlighter, it's so much more than a blushMicropearl-infused formulaDelivers radiant, buildable color and aluminous glowCruelty-freeVegan formula* (no animal-derived ingredient or by-product)","Talc, Trimethylsiloxyphenyl Dimethicone, Ethylhexyl Palmitate, Isostearyl Isostearate, Octyldodecanol, Synthetic Fluorphlogopite, Zinc Oxide [Nano]/Zinc Oxide, Tin Oxide, Barium Sulfate, Alumina, Aluminum Hydroxide, Caprylyl Glycol, Octyldodecyl Stearoyl Stearate, Phenoxyethanol. May Contain: CI 15850/Red 7 Lake, CI 45410/Red 28 Lake, CI 75470/Carmine, CI 77007/Ultramarines, CI 77491, CI 77492, CI 77499/Iron Oxides, CI 77891/Titanium Dioxide, Mica, CI 15850/Red 6, CI 19140/Yellow 5 Lake, CI 42090/Blue 1 Lake.",https://www.ulta.com/sweet-cheeks-creamy-powder-blush-glow?productId=pimprod2006999,Ulta
21,21,ColourPop,Super Shock Blush,blush,8.0,4.0,"Only at ULTA!ColourPop's famous Super Shock Blush formula has a bouncy texture that delivers a healthy luminous glow that¿s weightless, buildable, and super blendable. This long-wearing crème powder cheek formula is the BFF of ColourPop's famous Super Shock Shadows; it shares the same unique texture that is extremely buildable and blends smoothly to leave the cheeks looking healthy.Benefits:VeganCruelty free","Cyclopentasiloxane, Dimethicone, Synthetic Fluorphlogopite, Trimethylsiloxysilicate, Boron Nitride, Octocrylene, C30-45 Alkyl Cetearyl Dimethicone Crosspolymer, Ethylhexyl Methoxycinnamate, Isododecane, Cyclohexasiloxane, Butyl Methoxydibenzoylmethane, Ethylhexyl Salicylate, Dimethicone/Vinyltrimethylsiloxysilicate Crosspolymer, Phenoxyethanol, Dimethiconol, Disteardimonium Hectorite, Glycine Soja (Soybean) Oil, Mangifera Indica (Mango) Seed Butter, Propylene Carbonate, Ethylhexylglycerin, Cucumis Sativus (Cucumber) Fruit Extract. May Contain: Carmine (Ci 75470), Iron Oxides(Ci 77491, Ci 77492, Ci 77499), Mica (Ci 77019), Titanium Dioxide (Ci 77891).",https://www.ulta.com/super-shock-blush?productId=pimprod2009393,Ulta
26,26,ColourPop,Blush Stix,blush,8.0,4.4,"Only at ULTA!ColourPop's creamy, dreamy, first ever Blush Stix are the easiest to use blush stick ever. Glides on the skin, blends effortlessly, and easily builds colour to your heart's desire. The lightweight, natural, skin-like finish plays well when layered and doesn't disturb your makeup. Take it with you anywhere for on-the-go application - just dab, blend, and glow!Benefits:VeganCruelty Free","Phenylpropyldimethylsiloxysilicate, Caprylyl Methicone, Phenyl Trimethicone, Paraffin, Caprylic/Capric Triglyceride, Vp/Hexadecene Copolymer, Hydrated Silica, Ceresin, Copernicia Cerifera (Carnauba) Wax, Synthetic Beeswax, Hydrogenated Soybean Oil, Cetyl Peg/Ppg-10/1 Dimethicone, Lauryl Laurate, Stearic Acid, Phenoxyethanol, Caprylyl Glycol, Microcrystalline Wax, Tocopherol, Potassium Sorbate, Water, Hexylene Glycol, Iron Oxides (CI 77491, CI 77492), Mica (CI 77019), Red 7 Lake (CI 15850), Titanium Dioxide (CI 77891).",https://www.ulta.com/blush-stix?productId=pimprod2009396,Ulta
81,77,e.l.f. Cosmetics,Powder Blush Palette,blush,8.0,4.5,"This beautiful e.l.f. Cosmetics Powder Blush Palette holds 4 gorgeous shades to mix and match throughout the year for a custom blended color. Great for contouring, shading, sculpting, and highlighting, these silky smooth blushes create a beautiful pigmented glow. With a mixture of complimentary matte and shimmer finishes, you can achieve a professional look every time. Cruelty free and vegan.","Mica, Talc, Ethylhexyl Palmitate, Silica, Nylon-12, PTFE, Zinc Stearate, Dimethicone, Tocopheryl Acetate (Ve). May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Red 7 Lake (CI 15850), Ultramarines (CI 77007), Red 6 Lake (CI 15850), Red 28 Lake (CI 45410).",https://www.ulta.com/powder-blush-palette?productId=xlsImpprod14521197,Ulta
12,12,Milani,Baked Blush,blush,9.49,,"Richly pigmented and highly buildable, the beautiful matte and shimmery shades of Milani Baked Blush are the perfect cheeky pop of color for every skin tone. Sunbaked on Italian terracotta tiles, the warm finish adds a radiance that is the very essence of beauty. Shape, contour and highlight your best features.#JeffreeStarApproved","Talc, Mica, Dimethicone, Isopropyl Palmitate, Polysorbate 20, Acrylamide / Sodium Acryloyldimethyltaurate Copolymer, Magnesium Aluminum Silicate, Octyldodecyl Stearoyl Stearate, Cetearyl Ethylhexanoate, Isohexadecane, Caprylyl Glycol, Sorbitan Stearate, Lauroyl Lysine, Sodium Dehydroacetate, Phenoxyethanol, Simmondsia Chinensis (Jojoba) Seed Oil, Tocopheryl Acetate, Polysorbate 80, Hexylene Glycol, Tin Oxide, Nylon-12, Sorbitan Oleate, Calcium Sodium Borosilicate, Synthetic Fluorphlogopite, Calcium Aluminum Borosilicate, Silica. May Contain: Titanium Dioxide (CI 77891), Iron Oxide (CI 77491, CI 77492, CI 77499), Red 6 Lake (CI 15850), Red 7 Lake (CI 15850), Yellow 5 Lake (CI 19140), Yellow 6 Lake (CI 15985), Ultramarines (CI 77007).",https://www.ulta.com/baked-blush?productId=xlsImpprod17081057,Ulta
