level_0,index,brand,product,product_type,price,rating,details,ingredients,url,store,id
1169,1166,TOM FORD,Eye Defining Pen,eyeliner,59.0,4.5,"What it is: A dual-ended liquid eyeliner with a fine calligraphy tip on one end, and brush on the other for a range of sleek to dramatic effects. Ingredient Callouts: Free of sulfates, parabens, and fragrance.What Else You Need to Know: Formulated in the blackest shade of black, this dual-ended liquid liner delivers ultimate precision and makes fluid strokes easy to achieve. With a fine calligraphy tip on one end and a brush tip on the other, it creates a spectrum of transforming effects, from classic, sleek lines to dramatic wing-tips or a sultry, doe-eyed effect.","Water, Butylene Glycol, Ammonium Acrylates Copolymer, Alcohol, Acrylates Copolymer, 1,2-Hexanediol, Beheneth-30, Sucrose Palmitate, Hydrogenated Palm Glycerides, Ethylhexylglycerin, Tocopherol, Sorbitan Palmitate, Sorbitan Laurate, Sorbitan Trioleate, Simethicone, Aminomethyl Propanol, Phenoxyethanol, [+/- Black 2 (Ci 77266), Mica, Carmine (Ci 75470), Chromium Hydroxide Green (Ci 77289), Chromium Oxide Greens (Ci 77288), Yellow 5 Lake (Ci 19140), Ferric Ammonium Ferrocyanide (Ci 77510), Blue 1 Lake (Ci 42090), Iron Oxides (Ci 77491), Iron Oxides (Ci 77499), Ultramarines (Ci 77007), Titanium Dioxide (Ci 77891), Ferric Ferrocyanide (Ci 77510), Iron Oxides (Ci 77492)] ",https://sephora.com/product/eye-defining-pen-P422571?icid2=products%20grid:p422571,Sephora,7
1177,1173,TOM FORD,Emotionproof Eye Liner,eyeliner,44.0,3.5,"What it is: A long-wearing, retractable eyeliner with up to 24 hours of wear, in shades designed to complement TOM FORD eyeshadow and mascara.What Else You Need to Know: Intense and richly-pigmented, Emotionproof Eye Liner comes in shades designed to complement TOM FORD eye shadow. It glides effortlessly onto lids without tugging for gorgeous, color-true payoff. It is waterproof, smudge-resistant, transfer-resistant, humidity-resistant, and ophthalmologist-tested.","Trimethylsiloxysilicate, Synthetic Wax, Hydrogenated Polyisobutene, Hydrogenated Polydecene, Hydrogenated Poly(C6-14 Olefin), Polybutene, Silica Silylate, Rhus Succedanea (Japan) Fruit Wax, Ethylene/Propylene Copolymer, Copernicia Cerifera (Carnauba) Wax/Copernicia Cerifera Cera, Calcium Sodium Borosilicate, Calcium Aluminum Borosilicate, Silica, Tin Oxide, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate. May Contain (+/-): Mica, Iron Oxides (Ci 77491), Iron Oxides (Ci 77492), Iron Oxides (Ci 77499), Black 2 (Ci 77266), Bronze Powder (Ci 77400), Aluminum Powder (Ci 77000), Titanium Dioxide (Ci 77891), Ferric Ammonium Ferrocyanide (Ci 77510), Carmine (Ci 75470), Manganese Violet (Ci 77742), Ultramarines (Ci 77007), Ferric Ferrocyanide (Ci 77510).",https://sephora.com/product/emotionproof-eye-liner-P445431?icid2=products%20grid:p445431,Sephora,7
1209,1212,Guerlain,Liquid Eyeliner,eyeliner,44.0,4.0,"What it is:A liquid eyeliner for thin to thick liner looks.

What it does:Designed like a calligraphy tool for precision and simplicity of use, Guerlain liquid eyeliner features an ultra-fine brush with a long handle that lets you create an impeccable line. From the thinnest to the heaviest contour, it provides flawless application.

What it is formulated WITHOUT:- Sulfates - Phthalates

What else you need to know:This product is free of GMOs and triclosan.
","If there were a dictionary devoted solely to beauty, you’d find Guerlain under the word classic. A purveyor of luxury fragrance, makeup, and skin care, Guerlain beauty standards have been consistently defined and redefined for more than 175 years. Since 1828, the company pioneered industry staples, including lipstick, eyeliner, mascara, and scientifically based skin care.  And that's just the beginning: Their fragrance house has created over 700 perfumes, several of which are considered masterpieces. An enduring symbol of style and innovation, it's nearly impossible to imagine life before lipstick—or Guerlain.
Visit the Guerlain boutique",https://sephora.com/product/liquid-eyeliner-P260213?icid2=products%20grid:p260213,Sephora,7
1219,1216,surratt beauty,Auto-Graphique Eyeliner,eyeliner,42.0,4.5,"What it is:
A refillable liquid eyeliner with a Japanese calligraphy-inspired brush tip for drawing precise, long-lasting cat eyes.
What it does:
 The calligraphy-style brush precisely lines your eyes. The smooth, sumi ink-inspired formula is buildable and non-pilling, for artful lines with an enduring finish. Like a calligraphy pen, this well-constructed brush is designed to outlast the ink cartridge inside. This liquid liner performs best when layered over eyeshadow.

What else you need to know:
 If the brush tip becomes soiled with shadow, gently wipe clean with a lint-free tissue; if hairs become unaligned, form them back into a point by stroking them against the tissue. Replenish with Surratt Beauty Autographique Eyeliner Refill (sold separately). Surratt Beauty is dedicated to the Japanese tradition of minimal elegance; the space-saving packaging is designed to be lightweight and secure, and it is recyclable. 

For a wider line, run the brush tip through your fingers to flatten the hairs.Troy Surratt, Celebrity Makeup Artist and Founder of Surratt Beauty
This product is an Allure Best of Beauty award winner.","Water, Butylene Glycol, Ammonium Acrylates Copolymer, Beheneth-30, Phenoxyethanol, Methylparaben, Ethylparaben, Sodium Hydroxide, Simethicone, 
Sorbitan Palmitate. Sorbitan Laurate, Hydrogenated Palm Glycerides, Sorbitan Trioleate, Sucrose Palmitate, Black 2 (Ci 77266).
",https://sephora.com/product/auto-graphique-eyeliner-P394173?icid2=products%20grid:p394173,Sephora,7
1226,1222,Guerlain,Terracotta Khol Loose Powder Eyeliner,eyeliner,41.0,4.0,"An exceptionally elegant eye makeup innovation, this ultra fine, loose powder, with a touch of iridescence, can be applied as an eyeliner using the wand applicator or applied as an eyeshadow using the brush.","If there were a dictionary devoted solely to beauty, you’d find Guerlain under the word classic. A purveyor of luxury fragrance, makeup, and skin care, Guerlain beauty standards have been consistently defined and redefined for more than 175 years. Since 1828, the company pioneered industry staples, including lipstick, eyeliner, mascara, and scientifically based skin care.  And that's just the beginning: Their fragrance house has created over 700 perfumes, several of which are considered masterpieces. An enduring symbol of style and innovation, it's nearly impossible to imagine life before lipstick—or Guerlain.
Visit the Guerlain boutique",https://sephora.com/product/terracotta-khol-loose-powder-eyeliner-P116908?icid2=products%20grid:p116908,Sephora,7
1215,1210,Hourglass,Voyeur Waterproof Liquid Liner,eyeliner,34.0,3.5,"What it is: A long-wearing, waterproof liquid liner enriched with ultra-black pigments for the darkest, most dramatic definition.  What it does: This waterproof formula dries quickly to prevent smudging and transfer for all-day wear. The Precision felt tip glides comfortably along the lashline without skipping or tugging to create thin, precise lines for sophisticated definition or bold, dramatic lines for the perfect winged eye.  It delivers the perfect amount of ultra-black formula in every stroke, making it easy to use for novices and experts alike. What it is formulated WITHOUT:- Parabens- Sulfates- PhthalatesWhat else you need to know: The Hourglass soft precision tip was developed to feel weightless as you define the lashline, while releasing the perfect amount of ink with every stroke.Hourglass products are 100 percent cruelty-free."," Water/Aqua, Alcohol, Butylene Glycol, Styrene/Acrylates Copolymer, Acrylates/Octylacrylamide Copolymer, Beheneth-30, 1,2-Hexanediol, Caprylyl Glycol, Disodium Edta, Ethylhexylglycerin, Pentylene Glycol, Phenoxyethanol, Sodium Benzoate, Sodium Dehydroacetate, Sodium Hydroxide, Xanthan Gum, Carbon Black (Ci 77266).",https://sephora.com/product/voyeur-waterproof-liquid-liner-P415643?icid2=products%20grid:p415643,Sephora,7
1222,1218,Dior,Diorshow Waterproof Pro Liner,eyeliner,33.0,3.5,"What it is:A revolutionary eyeliner that fuses the easy application of a pencil with the glide and intensity of a liquid liner.

What it does:This adjustable liner gives you eyeliner looks of a makeup artist in one clean and perfectly-controlled stroke. The retractable tip design hugs the lash line so you can create an instantly buildable, thin to thick line. The beveled tip does not require sharpening and retains its ergonomic shape with each application. Featuring a waterproof, gel-like formula enriched with a high concentration of pigments, it delivers unprecedented glide and intensity for foolproof application. 

What it is formulated WITHOUT:- Parabens- Sulfates - Phthalates","Dimethicone, Polyethylene, Trimethylsiloxysilicate, Caprylyl Methicone, Polypropylsilsesquioxane, Cera Alba (Beeswax), Synthetic Fluorphlogopite, Bis-Diglyceryl Polyacyladipate-2, Glyceryl Undecyl Dimethicone, Phenoxyethanol, Bht. May Contain (+/-): Yellow 5/Yellow 5 Lake (Ci 19140), Blue 1 Lake (Ci 42090), Ultramarines (Ci 77007), Bismuth Oxychloride (Ci 77163), Chromium Oxide Greens (Ci 77288), Chromium Hydroxide Green (Ci 77289), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Ferric Ferrocyanide/Ferric Ammonium Ferrocyanide (Ci 77510), Manganese Violet (Ci 77742), Titanium Dioxide (Ci 77891).*The ingredients in the composition of Parfums Christian Dior products are regularly updated. Before using a Parfums Christian Dior product, please read the ingredient list on its packaging to ensure that the ingredients are suitable for your personal use.",https://sephora.com/product/diorshow-waterproof-pro-liner-P396238?icid2=products%20grid:p396238,Sephora,7
350,345,Benefit Cosmetics,BADgals Lash & Line Eye Set,eyeliner,32.0,5.0,"A $58 value.Lash & line like a BADgal! Get full-blast volumized lashes and bold, defined eyes with Benefit's BADgals Lash & Line Eye Set. This value set features two of Benefit's bestselling BADgal BANG! volumizing mascaras - a full size intense pitch black & brightening blue mini. Paired with BADgal BANG! 24 Hour Eye Pencil in creamy, matte black to give your lashes & liner some serious BADitude!BADgals Lash & Line Eye Set includes: Full Size BADgal Bang! Volumizing Mascara in Intense Pitch Black (0.3 oz)Mini BADgal Bang! Volumizing Mascara in Brightening Blue (0.14 oz)Full Size BADgal Bang! 24 Hour Eye Pencil in Pitch Black (0.009 oz)","BADgal Bang Mascara In Intense Pitch Black: Aqua (Water), Paraffin, Cera Alba (Beeswax), Glyceryl Stearate, Butylene Glycol, Acrylates Copolymer, Euphorbia Cerifera (Candelilla) Wax, Copernicia Cerifera (Carnauba) Wax, Polybutene, Steareth-21, Vp/Eicosene Copolymer, Palmitic Acid, Stearic Acid, Phenoxyethanol, Steareth-2, Aminomethyl Propanediol, Panthenol, Caprylyl Glycol, Hydroxyethylcellulose, Silica Silylate, Tocopheryl Acetate, Nylon-12, Bht. CI 19140 (Yellow 5, Yellow 5 Lake), CI 42090 (Blue 1 Lake), CI 77007 (Ultramarines), CI 77163 (Bismuth Oxychloride), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77491, CI 77492, CI 77499 (Iron Oxides), CI 77510 (Ferric Ferrocyanide, Ferric Ammonium Ferrocyanide), CI 77742 (Manganese Violet), CI 77891 (Titanium Dioxide).BADgal Bang Eye Liner: Dimethicone, Synthetic Wax, Polymethylsilsesquioxane, Sucrose Tetrastearate Triacetate, Silica, Polybutene, Coco-Caprylate/Caprate, Hydrogenated Jojoba Oil, Trimethylsiloxysilicate/Dimethiconol Crosspolymer, Trimethylpentanediol/Adipic Acid/Glycerin Crosspolymer, Mica, Silica Silylate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate. CI 19140 (Yellow 5, Yellow 5 Lake), CI 42090 (Blue 1 Lake), CI 75470 (Carmine), CI 77007 (Ultramarines), CI 77163 (Bismuth Oxychloride), CI 77266 [Nano] (Black 2), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77491, CI 77492, CI 77499 (Iron Oxides), CI 77510 (Ferric Ferrocyanide, Ferric Ammonium Ferrocyanide), CI 77742 (Manganese Violet), CI 77891 (Titanium Dioxide).BADgal Bang Brightening Blue Mascara: Aqua (Water), Paraffin, Cera Alba (Beeswax), Glyceryl Stearate, Butylene Glycol, Acrylates Copolymer, Euphorbia Cerifera (Candelilla) Wax, Copernicia Cerifera (Carnauba) Wax, Polybutene, Silica, Steareth-21, Vp/Eicosene Copolymer, Palmitic Acid, Stearic Acid, Phenoxyethanol, Steareth-2, Aminomethyl Propanediol, Caprylyl Glycol, Panthenol, Hydroxyethylcellulose, Silica Silylate, Tocopheryl Acetate, Methicone, Nylon-12. CI 19140 (Yellow 5, Yellow 5 Lake), CI 42090 (Blue 1 Lake), CI 77007 (Ultramarines), CI 77163 (Bismuth Oxychloride), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77491, CI 77492, CI 77499 (Iron Oxides), CI 77510 (Ferric Ferrocyanide, Ferric Ammonium Ferrocyanide), CI 77742 (Manganese Violet), CI 77891 (Titanium Dioxide).Product ingredient listings are updated periodically. Before using a Benefit product, please read the ingredient list on the packaging of your product to be sure that the ingredients are appropriate for your personal use.",https://www.ulta.com/badgals-lash-line-eye-set?productId=pimprod2010474,Ulta,7
1186,1181,PAT McGRATH LABS,PERMA PRECISION Liquid Eyeliner,eyeliner,32.0,4.0,"What it is:
	
A sensuous, waterproof eyeliner that delivers elegant precision, letting you achieve the ultimate eye lift as you line and define with inky luxury.

What it does:
 This waterproof formulation lasts for up to 24 hours. It is completely smudge-proof and suitable for hot and humid climates. It delivers a gorgeous color payoff with an intense, inky pigment. The formula dries quickly, and offers an even, playful lining experience without transferring, feathering, skipping, or running. It features a luxe finish with velvety opacity.

The soft, skinny Flexi-Art tip provides a unique bend for ultimate flexibility. It delivers effortless control so you can create elegant contours, pristine definition, and an ultra-fine or dramatic line.  
","Water, Methylpropanediol, Styrene/Acrylates Copolymer, Styrene/Acrylates/Ammonium Methacrylate Copolymer, Cellulose, PEG-60 Hydrogenated Castor Oil, Coco-Glucoside, Poloxamer 407, BHT, Citric Acid, Phenylpropanol, Sodium Laureth-12 Sulfate, Sodium Lauryl Sulfate, Potassium Sorbate, Sodium Benzoate, Caprylyl Glycol, Sodium Dehydroacetate, Phenoxyethanol, Cinnamyl Alcohol, Benzyl Alcohol, Black 2 (Ci 77266) [nano].",https://sephora.com/product/perma-precision-liquid-eyeliner-P429405?icid2=products%20grid:p429405,Sephora,7
1207,1203,Lancôme,GRANDIÔSE Bendable Liquid Eyeliner,eyeliner,32.0,3.5,"What it is:
A 35-degree bendable wand that allows for easy and precise liquid liner looks.

What it does:
 GRANDIÔSE Bendable Eyeliner features a bent wand that allows for precise and direct application to the lash line. The wand bends at a 35-degree angle, and pivots to two stable positions while applying. This angle allows for close access to the lash line, while the ultra-thin tip of the felt applicator creates a clean look. Now with an improved formula, it uses pigment extracts for a beautiful matte effect. The eyeliner formula applies smoothly, dries quickly, and is smudge-proof and long lasting. It’s the perfect liner to create any eye look, from effortless to artistic. Line on a French cat-eye, or go for a double line with different colored liners.

What it is formulated WITHOUT:
- Parabens
- Sulfates
- Phthalates

What else you need to know:
 This product is suitable for sensitive eyes, and its water-based formula is easy to remove. Pro tip: Before use, shake well to maximize saturation of the liner’s felt tip.","Water, Styrene/Acrylates/Ammonium Methacrylate Copolymer, Propylene Glycol, Synthetic Fluorphlogopite, Alcohol Denat, Silica, Magnesium Silicate, Tin Oxide, Peg-40 Hydrogenated Castor Oil, Sodium Laureth Sulfate, Aminomethyl Propanediol, Disodium Edta, Caprylyl Glycol, Tetrasodium Edta, Acrylates Copolymer, Butylene Glycol, Potassium Sorbate, Sodium Dehydroacetate, Phenoxyethanol, May Contain: Ci 75470/Carmine, Ci 77007/Ultramarines, Ci 77491, Ci 77492, Ci 77499/Iron Oxides, Ci 77510/Ferric Ferrocyanide, Ci 77891/Titanium Dioxide.",https://sephora.com/product/grandi-ocirc-se-bendable-eyeliner-P411510?icid2=products%20grid:p411510,Sephora,7
