Brand,Product,Product Type,Price,Rating,Details,Ingredients,URL,Store
Estée Lauder,Double Wear Stay-in-Place Foundation,foundation,43.0,4.5,"What it is: A 24-hour liquid foundation with a flawless, natural, matte finish that unifies uneven skin tone and covers imperfections with buildable coverage.Coverage: Full Finish: Matte Formulation: Liquid Skin Type: Combination and Oily  Ingredient Callouts: Free of fragrance. What Else You Need to Know: Double Wear is available in over 55 shadesincluding cool, neutral, and warm undertonesto suit all skin tones. It’s makeup that keeps up with your busy life. Oil-free and oil-controlling, Double Wear lasts in hot and humid weather, and feels lightweight and comfortable.This product is an Allure Best of Beauty award winner.","Get more information about shipping rates, schedules, methods and restrictions.If you are not completely satisfied with an online purchase or gift, you may return your U.S.or Canadian purchase in stores or by mail. Restrictions apply for returns made outside the U.S.",https://sephora.com/product/double-wear-stay-in-place-makeup-P378284?icid2=products%20grid:p378284,Sephora
FENTY BEAUTY by Rihanna,Pro Filt'r Soft Matte Longwear Foundation,foundation,35.0,4.0,"What it is: A soft matte, long-wear foundation with buildable, medium-to-full coverage, in a boundary-breaking range of 50 shades.Coverage: Full  Finish: Matte  Formulation: Liquid Skin Type: Normal, Combination, and Oily  Ingredient Callouts: Free of parabens and phthalates. This product is also cruelty-free.What Else You Need to Know: This long-wearing, light-as-air foundation gives skin an instantly-smooth, pore-diffused, shine-free finish. The oil-free formula is made with climate-adaptive technology that’s resistant to sweat and humidity, and won’t clog poresso that wherever you are, it’s going to work on your skin.This product is an Allure Best of Beauty award winner.","Water, Dimethicone, Talc, Peg-10 Dimethicone, Trimethylsiloxysilicate, Polypropylene, Isododecane, Cetyl Peg/Ppg-10/1 Dimethicone, Nylon-12, Hdi/Trimethylol Hexyllactone Crosspolymer, Phenoxyethanol, Sodium Chloride, Hydrogen Dimethicone, Glycerin, Magnesium Sulfate, Sodium Dehydroacetate, Disteardimonium Hectorite, Aluminum Hydroxide, Methicone, Benzoic Acid, Dehydroacetic Acid, Propylene Carbonate, Ethylhexylglycerin, Parfum/Fragrance, Silica, Biosaccharide Gum-4, Ananas Sativus (Pineapple) Fruit Extract, Carica Papaya (Papaya) Fruit Extract, Paullinia Cupana Seed Extract, Potassium Sorbate, Sorbic Acid. May Contain (+/-): Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI77499).",https://sephora.com/product/pro-filtr-soft-matte-longwear-foundation-P87985432?icid2=products%20grid:p87985432,Sephora
Armani Beauty,Luminous Silk Foundation,foundation,64.0,4.5,"What it is: An award-winning oil-free foundation that delivers medium buildable coverage and a luminous finish that leaves skin looking naturally flawless.Coverage: Medium Finish: Natural  Formulation: Liquid Skin Type: Normal, Dry, Combination, and Oily What Else You Need to Know: This beauty favorite is made with patented Micro–fil™ technology. Unlike other foundations, which are made with round pigments that cause separation on the skin, Micro–fil™ technology pigments lay flat for seamless blending and layering, a flawless, second-skin effect and a lit-from-within glow.",-Micro-Fil Technology: Provides a translucent radiance and flawless finish.,https://sephora.com/product/luminous-silk-foundation-P393401?icid2=products%20grid:p393401,Sephora
MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,foundation,43.0,4.0,"What it is: An iconic foundation that provides undetectable medium coverage and a blurred, second-skin finish for up to 24 hours, now in 50 shades to match your skin.Coverage: Medium  Finish: Natural  Formulation: Liquid Skin Type: Normal, Dry, Combination, and Oily Highlighted Ingredients: - Hyaluronic Spheres: Formulated to look fresh and be comfortable all day.- Silica Powders: Blurs imperfections.- Sericite: Smooths the appearance of skin.What Else You Need to Know: Frequently named one of the best liquid foundations, this pro essential looks flawless in any light. Its weightless formula contains hydrating hyaluronic acid, smart adaptive pigments that adjust to your complexion, and skin-fusion technology that blends easily to create a natural, skin-like effect.Clinical Results: In a consumer panel study of 134 women after 1 week of use: - 96% agreed the texture was comfortable all day long - 94% agreed the texture did not dry out their skin - 94% agreed the makeup result looked natural","-Hyaluronic Spheres: Formulated to look fresh and be comfortable all day.-Silica Powders: Blurs imperfections.-Sericite: Smooths the appearance of skin.Cyclopentasiloxane, Water, Peg-10 Dimethicone, Neopentyl Glycol Diethylhexanoate, Talc, Mica, Phenyl Trimethicone, Sodium Chloride, Lauroyl Lysine, Dimethicone Crosspolymer, Methylpropanediol, Glyceryl Caprylate, Propanediol, Disteardimonium Hectorite, Sucrose Palmitate, Phenoxyethanol, Sodium Myristoyl Glutamate, Alumina, Cyclohexasiloxane, Propylene Carbonate, Pentylene Glycol, Sorbitan Sesquioleate, Evodia Rutaecarpa Fruit Extract, Tocopheryl Acetate, Glyceryl Linoleate, Aluminum Hydroxide, Glycerin, Fragrance, Benzyl Alcohol, Benzyl Benzoate, Citric Acid, Potassium Sorbate, Sodium Hyaluronate, Tin Oxide, Bht, Tocopherol. May Contain (+/-): Yellow 5/Yellow 5 Lake (Ci 19140), Blue 1 Lake (Ci 42090), Ultramarines (Ci 77007), Bismuth Oxychloride (Ci 77163), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Titanium Dioxide (Ci 77891).",https://sephora.com/product/ultra-hd-invisible-cover-foundation-P398321?icid2=products%20grid:p398321,Sephora
Bite Beauty,Changemaker Supercharged Micellar Foundation,foundation,39.5,4.5,"What it is: A clean, long-wearing foundation with gentle micellar technology that mimics skin texture for a natural, flawless finish.Coverage: Medium  Finish: Natural  Formulation: Liquid Skin Type: Normal, Dry, Combination, and Oily Highlighted Ingredients: - Maqui Berry: An antioxidant-rich ingredient that helps nurture your complexion. - Micellar Technology: Gently mimics skin texture for a smooth, non-cakey look. Ingredient Callouts: This product is vegan, cruelty-free, and gluten-free.  What Else You Need to Know: Make the change to clean and high-performance. This creamy, long-wearing foundation perfects your skin with buildable, medium coverage. The secret? Bite Beauty uses antioxidant-rich superfood maqui berry and gentle micellar technology that works withand feels good onyour skin, even if you're sensitive.Clinical Results: In a consumer study on 31 volunteers, after 8 hours of wear:- 100% of users agreed this foundation feels fresh- 97% of users agreed this foundation is easy to blend- 97% of users agreed this foundation applies smoothlyClean at SephoraClean at Sephora is formulated without a list of over 50 ingredients, including sulfates (SLS and SLES), parabens, phthalates, and more. For the full list, check out the Ingredients tab."," -Maqui Berry: An antioxidant-rich ingredient that helps nurture your complexion. -Micellar Technology: Gently mimics skin texture for a smooth, non-cakey look. Aqua/Water/Eau, C13-15 Alkane, Propanediol, Isododecane, Polyglyceryl-6 Polyricinoleate, Mica, Polymethylsilsesquioxane, Dimethicone, Trimethylsiloxysilicate, Caprylic/Capric Triglyceride, Stearoxymethicone/Dimethicone Copolymer, Coco-Caprylate/Caprate, Polyglyceryl10 Dioleate, Disteardimonium Hectorite, Hydrogenated Lecithin, Sucrose Polystearate, Sucrose Stearate, Glyceryl Caprylate, C24-28 Alkyl Methicone, Propylene Carbonate, Parfum/Fragrance, Glyceryl Undecylenate, Xanthan Gum, Sodium Hydroxide, Helianthus Annuus (Sunflower) Seed Oil, Maltose, Agave Tequilana Leaf Extract, Triethoxycaprylylsilane, Aristotelia Chilensis Fruit Extract, Hexyl Cinnamal, Linalool, Limonene. May Contain [+/-]: Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491, Ci 77492, Ci 77499).Clean at Sephora products are formulated without:SulfatesSLS + SLES, Parabens, Formaldehydes, Formaldehyde-releasing agents, Phthalates, Mineral Oil, Retinyl Palmitate, Oxybenzone, Coal Tar, Hydroquinone, Triclosan, Triclocarban, Undisclosed synthetic fragrances (Products can be formulated with disclosed synthetic fragrances that meet the following two criteria: (1) the synthetic fragrances do not include any of the ingredients listed in numbers 1 through 12 above and (2) the synthetic fragrances are at a concentration below 1% of the total formula) The following type of acrylates: (ethyl acrylate, ethyl methacrylate, methyl methacrylate, butyl methacrylate, hydroxypropyl methacrylate, tetrahydrofurfuryl methacrylate, trimethylolpropane trimethacrylate , aluminum salts), Animal Oils/Musks/Fats, Benzophenone + Related Compounds, Butoxyethanol, Carbon Black, Lead/Lead Acetate, Methyl Cellosolve + Methoxyethanol, Methylchloroisothiazolinone & Methylisothiazolinone, Mercury + Mercury Compounds (Thimerisol), Insoluble Plastic Microbeads (This prohibited ingredient applies to products that are meant to be rinsed off ), Resorcinol, Talc (Talc that is free of any asbestos can be used in the formulation provided that Brand conducts testing to ensure that talc is free of any asbestos.), Toluene, Butylated hydroxyanisole (BHA), Butylated hydroxytoluene (BHT) that is 0.1% or more of total formula, Ethanolamines DEA/TEA/MEA/ETA, Nanoparticles as defined by the European Commission, Petrolatum and Parrafin that is not USP grade, Phenoxyethanol that is 1% or more of total formulation, Polyacrylamide & Acrylamide, The following types of Styrene (Bromostyrene, Deastyrene/acrylates/dvbcopolymer, sodium styrene/divinylbenzene copolymer , styrene oxide, styrene), 1,4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off, wiped off or removed, 3ppm or < for products that are meant to remain on the skin).",https://sephora.com/product/bite-beauty-changemaker-supercharged-micellar-foundation-vegan-P454740?icid2=products%20grid:p454740,Sephora
IT Cosmetics,CC+ Cream with SPF 50+,foundation,39.5,4.0,"What it is:  A bestselling, award-winning, color-correcting, full-coverage cream with SPF 50+ physical sunscreen.Skin Type: Normal, Dry, Combination, and Oily Formulation: Full CreamHighlighted Ingredients:- Collagen: Supports skin elasticity for a youthful, smooth appearance. - Peptides: Help reduce the appearance of wrinkles and support natural collagen for the look of smoother, firmer skin.  - Hyaluronic Acid: Locks in moisture, supports skin elasticity, and diminishes the look of fine lines and wrinkles. Ingredient Callouts: Free of parabens and phthalates.  What Else You Need to Know: It's your full-coverage foundation, SPF 50+ physical sunscreen, brightening color corrector, hydrating serum, poreless-finish primer, dark spot concealer, and moisturizing day cream all in one! Diffuses the appearance of dark spots, redness, hyperpigmentation, and other skin imperfections.Clinical Results: Based on a clinical study, immediately after use:- 100% of participants reported increased skin hydrationAfter 10 days:- 96% of participants reported softer, smoother skin- 85% of participants reported an improvement in the appearance of wrinkles- 77% of participants reported pores appeared smaller"," -Collagen: Supports skin elasticity for a youthful, smooth appearance. -Peptides: Help reduce the appearance of wrinkles and support natural collagen production for the look of smoother, firmer skin. -Hyaluronic Acid: Locks in moisture, supports skin elasticity, and diminishes the look of fine lines and wrinkles.  -Titanium Dioxide 9.0%, Zinc Oxide 6.3%  Water, Snail Secretion Filtrate, Phenyl Trimethicone, Dimethicone, Butylene Glycol, Butylene Glycol Dicaprylate/Dicaprate, Orbignya Oleifera Seed Oil, Butyloctyl Salicylate, Cetyl Peg/Ppg-10/1 Dimethicone, Cyclopentasiloxane, Cyclohexasiloxane, Magnesium Sulfate, Polyglyceryl-4 Isostearate, Dimethicone/Vinyl Dimethicone Crosspolymer, Aluminum Hydroxide, Hexyl Laurate, Stearic Acid, Calcium Stearate, Caprylyl Glycol, Triethoxycaprylylsilane, Ethylhexylglycerin, Citrus Medica Limonum (Lemon) Peel Oil, Tocopheryl Acetate, Sorbitan Isostearate, Phenoxyethanol, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, 1,2-Hexanediol, Disodium Edta, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Aurantifolia (Lime) Oil, Vitis Vinifera (Grape) Seed Oil, Punica Granatum Seed Oil, Pinus Sylvestris Leaf Oil, Persea Gratissima (Avocado) Oil, Niacinamide, Citrus Grandis (Grapefruit) Peel Oil, Cholesterol, Anthemis Nobilis Flower Water, Lactobacillus/Honeysuckle Flower/Licorice Root/Morus Alba Root/Pueraria Lobata Root/Schizandra Chinensis Fruit/Scutellaria Baicalensis Root/Sophora Japonica Flower Extract Ferment Filtrate, Perfluorohexane, Olea Europaea (Olive) Leaf Extract, Glycerin, Eucalyptus Globulus Leaf Oil, Camellia Sinensis Leaf Extract, Chrysanthemum Indicum Flower Extract, Pueraria Lobata Root Extract, Perfluorodecalin, Morus Alba Fruit Extract, Magnolia Kobus Bark Extract, Glycine Soja (Soybean) Sprout Extract, Diospyros Kaki Leaf Extract, Cinnamomum Cassia Bark Extract, Artemisia Princeps Leaf Extract, Pentafluoropropane, Curcuma Longa (Turmeric) Root Extract, Steareth-20, Hydrolyzed Hyaluronic Acid, Colloidal Oatmeal, Hydrolyzed Silk, Citric Acid, Sodium Benzoate, Potassium Sorbate, Aloe Barbadensis Leaf Extract, N-Hydroxysuccinimide, Hydrolyzed Collagen, Caprylhydroxamic Acid, Tocopherol, Thiamine Hcl, Riboflavin, Retinyl Palmitate, Pantothenic Acid, Palmitoyl Oligopeptide, Niacin, Folic Acid, Chrysin, Carnitine Hcl, Biotin, Ascorbic Acid, Palmitoyl Tetrapeptide-7, Chlorhexidine Digluconate. May Contain: Iron Oxides (Ci 77492, Ci 77491, Ci 77499).",https://sephora.com/product/your-skin-but-better-cc-cream-spf-50-P411885?icid2=products%20grid:p411885,Sephora
Too Faced,Born This Way Foundation,foundation,39.0,4.0,"What it is: An oil-free foundation that masterfully diffuses the line between makeup and skin with coverage so undetectable, they’ll think you were born this way.Coverage: Medium Finish: Natural Formulation: Liquid Skin Type: Normal, Dry, Combination, and Oily Highlighted Ingredients: - Coconut Water: Aids in delicately replenishing skin’s moisture levels.- Alpine Rose: Helps support skin’s health and resilience.- Hyaluronic Acid: Gives a smoother, more youthful appearance. Ingredient Callouts: Free of parabens. This product is also vegan, cruelty-free, and gluten-free. What Else You Need to Know: Born This Way is available in 35 shades so more people can have flawless, “I woke up like this” skin. It provides undetectable, medium-to-full coverage. It’s oil-free, hydrating, and long-wearing. This noncomedogenic formula is also photo-friendly and won’t cause flashback.","Water, Cyclopentasiloxane, Glycerin, Aluminum Starch Octenylsuccinate, Isododecane, Polyglyceryl-4 Isostearate, Cetyl PEG/PPG-10/1 Dimethicone, Hexyl Laurate, Dimethicone, Ethylhexyl Methoxycinnamate, Magnesium Sulfate, Diphenyl Dimethicone, Tribehenin, Triethoxycaprylylsilane, Disteardimonium Hectorite, Polysilicone-11, Propylene Carbonate, Tetrahexyldecyl Ascorbate, Cocos Nucifera Water, Ethylhexyl Palmitate, Rhododendron Ferrugineum Extract, Alcohol, Silica Dimethyl Silylate, Lecithin, Pistacia Lentiscus (Mastic) Gum, Butylene Glycol, Potassium Sorbate, Sodium Hyaluronate, EDTA, Caprylyl Glycol, Phenoxyethanol. May Contain (+/-): Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499).",https://sephora.com/product/born-this-way-P397517?icid2=products%20grid:p397517,Sephora
MAKE UP FOR EVER,Matte Velvet Skin Blurring Powder Foundation,foundation,38.0,4.0,"What it is: A full-coverage, blurring powder with a lifelike matte finish that bends and breathes with skin for 12-hour wear that never cakes, flakes, or fades.Coverage: Full Finish: Matte Formulation:Pressed powder Skin Type: Normal, Dry, Combination, and Oily What Else You Need to Know: This portable compact contains an innovative powder formula with Make Up For Ever’s unique flexi-fit puzzle complex for lightweight feel and flexible coverage. Blurring technology smooths and mattifies, visibly reducing pores and absorbing oil for a balanced, natural look. Available in 30 shades.","Talc, Synthetic Fluorphlogopite, Silica, Dimethicone, Polymethyl Methacrylate, Petrolatum, Diisostearyl Malate, Boron Nitride, Hdi/Trimethylol Hexyllactone Crosspolymer, Triethylhexanoin, Caprylyl Glycol, Phenoxyethanol, Sodium Dehydroacetate, Aluminum Hydroxide, Hydrogen Dimethicone, Alumina, Methicone. May Contain (+/-): Red 6/Red 7/Red 7 Lake (Ci 15850), Yellow 6/Yellow 6 Lake (Ci 15985), Yellow 5/Yellow 5 Lake (Ci 19140), Blue 1 Lake (Ci 42090), Red 27/Red 27 Lake/Red 28 Lake (Ci 45410), Red 30/Red 30 Lake (Ci 73360), Ultramarines (Ci 77007), Bismuth Oxychloride (Ci 77163), Chromium Oxide Greens (Ci 77288), Chromium Hydroxide Green (Ci 77289), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Ferric Ferrocyanide/Ferric Ammonium Ferrocyanide (Ci 77510), Manganese Violet (Ci 77742), Titanium Dioxide (Ci 77891).",https://sephora.com/product/matte-velvet-skin-blurring-powder-foundation-P443566?icid2=products%20grid:p443566,Sephora
Laura Mercier,Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,foundation,47.0,4.0,"What it is: A bestselling tinted moisturizer with a new and improved formula, infused with skincare benefits for up to 24-hour hydration and SPF 30 sunscreen to protect.  Coverage: Light  Finish: Natural  Formulation: Liquid Skin Type: Normal, Dry, and CombinationSPF: SPF 30Highlighted Ingredients: - Macadamia and Kukui Seed Oils: Help increase the skin's moisture levels long-term for up to 24 hours of hydration, while reducing the signs of visibly dry skin. - Silica Treated Pigment: Helps create a soft-focus effect for a naturally dewy finish.- Tamarind Seed Extract: Locks in moisture and gives enhanced antioxidant protection.- Avobenzone 2.5%, Octinoxate 7.49%, Octocrylene 2%, and Oxybenzone 1%: Sun protection.Ingredient Callouts: Free of parabens.What Else You Need to Know: The secret to effortless skin. Perfect your skin with a sheer hint of coverage for an effortless, no-makeup makeup dewy finish. Everything you loved about this iconic, lightweight formula, now with improved skincare benefits for lasting hydration and SPF 30 sunscreen. "," -Macadamia and Kukui Seed Oils: Help increase the skin's moisture levels long-term for up to 24 hours of hydration, while reducing the signs of visibly dry skin. -Silica Treated Pigment: Helps create a soft-focus effect for a naturally dewy finish.-Tamarind Seed Extract: Locks in moisture and gives enhanced antioxidant protection.-Avobenzone 2.5%, Octinoxate 7.49%, Octocrylene 2%, and Oxybenzone 1%: Sun protection. Water, Glycerin, Butylene Glycol, Dimethicone, Peg/Ppg-14/7 Dimethyl Ether, Hydrogenated Polydecene, Peg-5 Glyceryl Stearate, Isododecane, Silica, Phenyl Trimethicone, Trehalose, Phenoxyethanol, Tocopherol, Butyrospermum Parkii (Shea) Butter, Macadamia Ternifolia Seed Oil, Aleurites Moluccanus Seed Oil, Rhus Verniciflua Peel Wax, Tamarindus Indica Seed Gum, Saccharide Isomerate, Pentylene Glycol, Isostearic Acid, Glyceryl Stearate Se, Polysilicone-11, Behenyl Alcohol, Behenic Acid, Stearic Acid, Batyl Alcohol, Hydroxypropyl Methylcellulose Stearoxy Ether, Peg-30 Phytosterol, Disodium Edta, Sodium Metaphosphate, Carbomer, Polyacrylate Crosspolymer-6, Potassium Hydroxide, Bht, Sodium Citrate, Citric Acid, T-Butyl Alcohol. May Contain: Titanium Dioxide, Iron Oxides.",https://sephora.com/product/tinted-moisturizer-broad-spectrum-P109936?icid2=products%20grid:p109936,Sephora
bareMinerals,Original Loose Powder Mineral Foundation Broad Spectrum SPF 15,foundation,32.0,4.5,"What it is: A buildable foundation, made with five mineral ingredients that swirl from powder to silky cream and melt into skin for a natural, luminous finish.Coverage: Medium  Finish: Radiant  Formulation: Loose Powder  Skin Type: Normal, Dry, and Combination SPF: SPF 15Highlighted Ingredients: - Iron Oxides: Mineral pigments.- Titanium Dioxide and Zinc Oxide: Provide mineral sunscreen protection.- Mica and Bismuth Oxychloride: Provide a luminous finish with a silky-soft skin feel. Ingredient Callouts: Free of mineral oil, sulfates SLS and SLES, parabens, formaldehyde, formaldehyde-releasing agents, phthalates, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, triclocarban, and fragrance. This product is also vegan, cruelty-free, and gluten-free. What Else You Need to Know: This formula feels weightless, wears all day, and won’t clog pores or cause breakouts. It’s available in a full range of 30 shades for all skin tones. It provides clean, natural-looking coverage that won’t cake. It’s also recommended by The Skin Cancer Foundation as an effective broad spectrum sunscreen. It is the number-one prestige loose powder foundation in the U.S.*The Power Of Good: bareMinerals believes every little choice has the power to make a big differencefor ourselves, our communities and the world around us. As creators of good-for-skin products, they support initiatives that create a chain of goodempowering women to look good, feel good, and do good for others. They want to help everyone feel the power of good.*Source: The NPD Group, Inc./U.S. Prestige Beauty Total Department/Specialty, Makeup Sales, 12 months ending February 20. Clinical Results: Based on a 1 week US consumer study of 106 women:- 96% agreed this foundation feels weightless on their skin- 95% agreed this foundation reduced the appearance of flaws and imperfectionsBased on a 6 week US clinical study of 31 women:- Promotes clearer, healthier-looking skin over time"," -Titanium Dioxide and Zinc Oxide: Mineral sunscreen protection

 Mica, Titanium Dioxide, Iron Oxides, Bismuth Oxychloride.",https://sephora.com/product/bareminerals-original-foundation-broad-spectrum-spf-15-P61003?icid2=products%20grid:p61003,Sephora
