level_0,index,brand,product,product_type,price,rating,details,ingredients,url,store
850,844,La Mer,The Soft Fluid Long Wear Foundation SPF 20,foundation,120.0,4.0,"What it is: A weightless, natural looking foundation with buildable coverage for luxurious, long wear.Coverage: Medium  Finish: NaturalFormulation: Liquid Skin Type: Normal, Dry, Combination, and Oily SPF: SPF 20Ingredient Callouts: Free of sulfates SLS and SLES, parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, coal tar, hydroquinone, and triclosan.What Else You Need to Know: This silky, lightweight formula helps maintain balance and provides buildable coverage. It leaves skin is visibly plumped with hydration. Fine lines and wrinkles look softened, the look of pores and imperfections are diminished, and UV protection defends skin against future damage. This foundation also stays true, even in humidity.","Octinoxate 7.5%, Titanium Dioxide 1.9%Ingredients: Declustered Water (-)\Aqua\Eau De-Structuree (-), Declustered Water (+)\Aqua\Eau De-Structuree (+), Cyclopentasiloxane, Isododecane, Dimethicone, Phenyl Trimethicone, Butylene Glycol, Polysilicone-11, Polymethyl Methacrylate, Coco-Caprylate/Caprate, Peg/Ppg-18/18 Dimethicone, Silica, Algae (Seaweed) Extract, Sesamum Indicum (Sesame) Seed Oil, Medicago Sativa (Alfalfa) Seed Powder, Helianthus Annuus (Sunflower) Seedcake, Prunus Amygdalus Dulcis (Sweet Almond) Seed Meal, Eucalyptus Globulus (Eucalyptus) Leaf Oil, Sodium Gluconate, Copper Gluconate, Calcium Gluconate, Magnesium Gluconate, Zinc Gluconate, Tocopheryl Succinate, Niacin, Sesamum Indicum (Sesame) Seed Powder, Polyglyceryl-4 Isostearate, Citrus Aurantifolia (Lime) Peel Extract, Chondrus Crispus (Carrageenan) Extract, Cucumis Sativus (Cucumber) Fruit Extract, Hordeum Vulgare (Barley) Extract\Extrait D'orge, Molasses Extract\Saccharum Officinarum\Extrait De Melasse, Chlorella Vulgaris Extract, Gelidium Cartilagineum Extract, Corallina Officinalis Extract, Saccharomyces Lysate Extract, Silybum Marianum (Lady's Thistle) Extract, Whey Protein\Lactis Protein\Proteine Du Petit-Lait, Laminaria Saccharina Extract, Codium Tomentosum Extract, Sucrose, Glycerin, Cholesterol, Eryngium Maritimum Extract, Laminaria Digitata Extract, Glycine Soja (Soybean) Protein, Acetyl Glucosamine, Caffeine, Sorbitol, Sigesbeckia Orientalis (St. Paul's Wort) Extract, Tourmaline, Acetyl Hexapeptide-8, Sodium Hyaluronate, Hexyl Laurate, Cetyl Peg/Ppg-10/1 Dimethicone, Disteardimonium Hectorite, C12-16 Alcohols, Magnesium Aluminum Silicate, Trehalose, Yeast Extract\Faex\Extrait De Levure, Dimethicone Silylate, Propylene Glycol Diethylhexanoate, Yeast Polysaccharides, Caprylyl Glycol, Triethyl Citrate, Tetrahexyldecyl Ascorbate, Palmitic Acid, Hydrogenated Lecithin, Methicone, Propylene Glycol Dicaprate, Tocopheryl Linoleate/Oleate, Sodium Chloride, Aluminum Hydroxide, Hexylene Glycol, Triethoxycaprylylsilane, Fragrance (Parfum), Alcohol Denat., Disodium Edta, Bht, Phenoxyethanol,  [+/- Mica, Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77492), Iron Oxides (Ci 77491), Iron Oxides (Ci 77499)]. Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",https://sephora.com/product/the-soft-fluid-long-wear-foundation-spf-20-P423742?icid2=products%20grid:p423742,Sephora
878,871,La Mer,The Luminous Lifting Cushion Foundation SPF 20 + Refill,foundation,120.0,4.0,"What it is: A foundation with healing hydration from Miracle Broth™ and color capsule technology, giving a fresh, flawless look and a plumper, firmer feel.Coverage: Light  Finish: Natural  Formulation: Liquid Skin Type: Normal, Dry, Combination, and Oily SPF: SPF 20Highlighted Ingredients: - Titanium Dioxide 6.5%: Sunscreen that protects skin from UVA and UVB radiation. Ingredient Callouts: Free of sulfates SLS and SLES, parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, coal tar, hydroquinone, triclosan, and contains less than one percent of synthetic fragrances.What Else You Need to Know: Give skin a lift of luminosity. Introducing iconic skincare plus radiant coverageall in one compact. Indulge in a radiant, flawless complexion anytime, anywhere. This treatment-infused compact from Skincolor de la Mer offers quick-touch, buildable coverage right at your fingertips. ","Water, Butylene Glycol Dicaprylate/Dicaprate, Dimethicone, Methyl Trimethicone, Diphenylsiloxy Phenyl Trimethicone, Lauryl Peg-9 Polydimethylsiloxyethyl Dimethicone, Glycerin, Butylene Glycol, Pentylene Glycol, Peg-10 Dimethicone, Algae (Seaweed) Extract, Sesamum Indicum (Sesame) Seed Oil, Medicago Sativa (Alfalfa) Seed Powder, Helianthus Annuus (Sunflower) Seedcake, Prunus Amygdalus Dulcis (Sweet Almond) Seed Meal, Eucalyptus Globulus (Eucalyptus) Leaf Oil, Sodium Gluconate, Copper Gluconate, Calcium Gluconate, Magnesium Gluconate, Zinc Gluconate, Tocopheryl Succinate, Niacin, Sesamum Indicum (Sesame) Seed Powder, Citrus Aurantifolia (Lime) Peel Extract, Codium Tomentosum Extract, Eryngium Maritimum Extract, Laminaria Digitata Extract, Sigesbeckia Orientalis (St. Paul's Wort) Extract, Acetyl Hexapeptide-8, Magnesium Sulfate, Acrylates/Stearyl Acrylate/Dimethicone Methacrylate Copolymer, Dimethicone Crosspolymer, Disteardimonium Hectorite, Lauroyl Lysine, Ethylhexylglycerin, Polyhydroxystearic Acid, Yeast Extract\Faex\Extrait De Levure, Caprylyl Glycol, Lecithin, Isopropyl Myristate, Isostearic Acid, Ethylhexyl Palmitate, Stearic Acid, Polyglyceryl-3 Polyricinoleate, Alumina, Aluminum Hydroxide, Tocopherol, Triethoxycaprylylsilane, Fragrance, Potassium Sorbate, Alcohol Denat., Disodium Edta, BHT, Linalool, Citronellol, Geraniol, Limonene, Hydroxycitronellal, Phenoxyethanol,  [+/- Mica, Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77492), Iron Oxides (Ci 77491), Iron Oxides (Ci 77499).",https://sephora.com/product/the-luminous-lifting-cushion-foundation-spf-20-refill-P437500?icid2=products%20grid:p437500,Sephora
880,873,TOM FORD,Traceless Foundation Stick,foundation,88.0,4.5,"What it is: A unique cream foundation that creates a flawless, smooth finish.Coverage: FullFinish: NaturalFormulation: Stick Skin Type: Normal and Dry Ingredient Callouts:Free of parabens, phthalates, and silicone. This product is also gluten-free.What Else You Need to Know: This portable stick achieves versatility in application for sheer, medium, or full coverage that’s always beautifully natural and undetectable. When used as a concealer, it swiftly diminishes the look of imperfections, leaving a soft-matte finish.","Tom Ford is a celebrated American designer who launched his brand in 2005 with a mission to redefine modern luxury. With menswear, women’s wear, accessories, eyewear, and beauty, TOM FORD is synonymous with sexy, timeless elegance and superior workmanship.
Visit the TOM FORD boutique",https://sephora.com/product/traceless-foundation-stick-P422453?icid2=products%20grid:p422453,Sephora
852,846,PAT McGRATH LABS,Skin Fetish: Sublime Perfection Foundation,foundation,68.0,4.0,"What it is: A long-wearing, customizable foundation that builds from sheer to medium coverage in a wide range of universal hues that manifest the ultimate sublime skin standard.Coverage: Medium  Finish: Natural  Formulation: Liquid Skin Type: Normal, Dry, Combination, and Oily Highlighted Ingredients: - Unique Polymers: Provide lasting wear, ultimate smoothness, and a luminous finish.- High-Purity Pigments Treated with Amino Acids: Deliver enhanced wear, a creamy feel, and controlled and easily buildable coverage.- Diamond Core Powder: Enhances radiance and skin luminosity and decreases appearance of skin imperfections.Ingredient Callouts: Free of parabens.What Else You Need to Know: A Vita-Serum Complex moisturizes and helps fight the appearance of wrinkles, while Diamond Core Powder Technology enhances skin’s texture, and helps smooth and blur the appearance of fine lines, pores, and imperfections. The silky, weightless formulation imparts a filtered, soft-focus luminosity.","-Unique Polymers: Provide lasting wear, ultimate smoothness, and a luminous finish.-High-Purity Pigments Treated with Amino Acids: Deliver enhanced wear, a creamy feel, and controlled and easily buildable coverage.-Diamond Core Powder: Enhances radiance and skin luminosity and decreases appearance of skin imperfections.Water, Cyclopentasiloxane, Isododecane, Alcohol, Glycerin, Phenyl Trimethicone, Ipdi/Di-C12-13 Alkyl Tartrate/Bis-Hydroxyethoxypropyl Dimethicone Copolymer, Aluminum Starch Octenylsuccinate, Cetyl Peg/Ppg-10/1 Dimethicone, Polyglyceryl-4 Isostearate, Disteardimonium Hectorite, Sodium Chloride, Aluminum Hydroxide, Benzimidazole Diamond Amidoethyl Urea Carbamoyl Propyl Polymethylsilsesquioxane, Caprylic/Capric Triglyceride, Di-C12-13 Alkyl Tartrate, Disodium Stearoyl Glutamate, Hexyl Laurate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Rubus Idaeus Leaf Cell Culture, Potassium Sorbate, Sodium Dehydroacetate. May Contain / Peut Contenir / +/- : Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77492, Ci 77491, Ci 77499). ",https://sephora.com/product/skin-fetish-sublime-perfection-foundation-P447519?icid2=products%20grid:p447519,Sephora
772,767,Armani Beauty,Luminous Silk Foundation,foundation,64.0,4.5,"What it is: An award-winning oil-free foundation that delivers medium buildable coverage and a luminous finish that leaves skin looking naturally flawless.Coverage: Medium Finish: Natural  Formulation: Liquid Skin Type: Normal, Dry, Combination, and Oily What Else You Need to Know: This beauty favorite is made with patented Micro–fil™ technology. Unlike other foundations, which are made with round pigments that cause separation on the skin, Micro–fil™ technology pigments lay flat for seamless blending and layering, a flawless, second-skin effect and a lit-from-within glow.",#NAME?,https://sephora.com/product/luminous-silk-foundation-P393401?icid2=products%20grid:p393401,Sephora
790,784,Armani Beauty,Power Fabric Longwear High Cover Foundation SPF 25,foundation,64.0,4.0,"What it is: A liquid foundation that delivers a natural velvet-matte finish and SPF 25 for up to 16 hours of full coverage and the anti-aging effects of daily sunscreen.Coverage: Full Finish: Natural Matte  Formulation: Liquid Skin Type: Normal, Dry, Combination, and Oily SPF: SPF 25What Else You Need to Know: This foundation is made with patented Micro–fil™ technology. Unlike other foundations, which are made with round pigments that cause separation on the skin, Power Fabric’s Micro–fil™ technology pigments lay flat for seamless blending and layering and a flawless, natural matte finish.","Giorgio Armani translates his sense of fashion and his aesthetic vision into the world of fragrances, make-up and skincare. Elegance is key: beauty, simplicity and quality are delivered through products made from the finest materials, designed to convey an understated and timeless sophistication.
Visit the Armani Beauty boutique",https://sephora.com/product/power-fabric-longwear-high-cover-foundation-spf-25-P416785?icid2=products%20grid:p416785,Sephora
866,858,Guerlain,Lingerie De Peau Natural Perfection Foundation SPF 20,foundation,63.0,4.5,"What it is: A fluid foundation with a perfecting, natural, second-skin-like finish and a fresh, light, and buildable formula that glides onto the skin.Coverage: Full  Finish: Natural Formulation: Liquid Skin Type: Normal and DrySPF: SPF 20Highlighted Ingredients:- Natural Silk Fibers: Provide comfort and a radiant look.- Ultra-Mattifying Natural Linen Fibers: Refine the look of skin texture, and provide a velvety-soft feel.- Stretch Fibers: Provide a smoothing and shaping effect.Ingredient Callouts: Free of parabens. What Else You Need to Know: Want to give your foundation a more radiant look? Mix Lingerie de Peau with a few drops of the Abeille Royale Youth Watery Oil (sold separately). Lingerie de Peau has a distinctive and delicate floral scent.","-Titanium Dioxide 3.16%
-Octinoxate (Ethylhexyl Methoxycinnamate) 3%
Water, Methyltrimethicone, Dimethicone, Alcohol, PEG-9 Polydimethylsiloxyethyl Dimethicone, Pentylene Glycol, Mica, Phenyltrimethicone, Silica, Acrylates Dimethicone Copolymer, Acrylates Copolymer, Aluminum Hydroxide, Butylene Glycol Dicaprylate/Dicaprate, Stearic Acid, Sorbitan Sesquioleate, Phenoxyethanol, Alumina, Sodium Myristoyl Glutamate, Hydroxyethylcellulose, Lecithin, Tetrasodium EDTA, Fragrance, Hexyl Cinnamal, Sericin, Hydroxycitronellal, BHT, Citronellol, Alpha-Isomethyl Ionone, Hydrolyzed Linseed Extract, Sorbic Acid, [+/- CI 77891 (Titanium Dioxide), CI 77491, CI 77492, CI 77499 (Iron Oxides)].
",https://sephora.com/product/lingerie-de-peau-liquid-foundation-spf-20-P276800?icid2=products%20grid:p276800,Sephora
782,777,Dior,Dior Airflash Spray Foundation,foundation,62.0,4.5,"What it is: An ultra-fluid, water-resistant foundation that blends full coverage with a lightweight formula, providing airbrushed perfection for up to 12 hours.Coverage: Full  Finish: Radiant  Formulation: Liquid Skin Type: Normal, Dry, Combination, and Oily  Ingredient Callouts: Free of parabens. This product also comes in recyclable packaging.What Else You Need to Know: Enriched with light-diffusing pigments, this foundation smooths the look of skin and gives the complexion a radiant, perfected look that lasts all day. The unique micro-diffusion spray system delivers a fine mist of foundation to provide a soft, velvety complexion. The water-resistant formula ensures up to 12 hours of hold and colors that stay true. The ultra-fluid and ultra-fine texture allows for buildable, custom coverage to suit any skin tone and texture.Clinical Results: In an instrumental test on 20 people:- The water-resistant formula stayed color-true for up to 12 hours","Butane, Water, Propane, Hydrogenated Coconut Acid, Coco-Caprylate/Caprate, Butylene Glycol, Silica, Alcohol Denat., Aluminum Starch Octenylsuccinate, Dimethicone, Isobutane, Cetyl Peg/Ppg-10/1 Dimethicone, Polyglyceryl-6 Polyricinoleate, Hydrogenated Polyisobutene, C15-19 Alkane, Sodium Chloride, Polyglyceryl-2 Isostearate, Dimethicone Crosspolymer, Disteardimonium Hectorite, Caprylyl Glycol, Hydrogenated Poly (C6-14 Olefin), Disodium Stearoyl Glutamate, Aluminum Hydroxide, Fragrance, Tocopherol, Linalool, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Bht. May Contain (+/-): Yellow 5/Yellow 5 Lake (Ci 19140), Blue 1 Lake (Ci 42090), Ultramarines (Ci 77007), Bismuth Oxychloride (Ci 77163), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Titanium Dioxide (Ci 77891).*The ingredients in the composition of Parfums Christian Dior products are regularly updated. Before using a Parfums Christian Dior product, please read the ingredient list on its packaging to ensure that the ingredients are suitable for your personal use.",https://sephora.com/product/diorskin-airflash-spray-foundation-P104914?icid2=products%20grid:p104914,Sephora
874,866,Armani Beauty,Luminous Silk Compact Powder Foundation,foundation,62.0,4.5,What it is: A dual-use makeup bag essential that doubles as a setting powder or alone as a natural-finish powder foundation.What Else You Need to Know: This compact foundation features an innovative two-sided applicator and a shine and oil control setting powder and a foundation in one travel-friendly case. This versatile beauty is perfect for quick touch-ups and can be worn alone or over foundation to blur imperfections and reduce the look of pores.,  -Micro-fil Technology: Provides translucent radiance and a flawless finish.,https://sephora.com/product/luminous-silk-compact-powder-foundation-P399928?icid2=products%20grid:p399928,Sephora
166,161,Perricone MD,No Makeup Foundation Serum Broad Spectrum SPF 20,foundation,60.0,4.3,"Perricone MD No Makeup Foundation Serum Broad Spectrum SPF 25 is a skin-improving serum foundation that creates a semi-matte finish with buildable coverage. This lightweight, skin-softening formula visibly improves dark spots and uneven skin tone for visibly smoother, more uniform skin over time.",No listed,https://www.ulta.com/no-makeup-foundation-serum-broad-spectrum-spf-20?productId=pimprod2004410,Ulta
