level_0,index,brand,product,product_type,price,rating,details,ingredients,url,store
833,826,Sephora Favorites,Medium Customizable Foundation Set with Too Faced Born This Way Foundation,foundation,39.0,5.0,"To redeem your set:1. Choose your full-size shade of Too Faced's Born This Way Foundation.2. ADD TO BASKET: Select Add All to Basket and your mini Shimmering Skin Perfector and Pro Filt'r Instant Retouch Setting Powder will be added automatically.3. GET A DEAL: Discount will be applied at checkout. Your final collection will be $39 for US Clients.Note: Each item will display separately with the original price when added to your basket. When applied, the discount will display above your order total. What it is: A customizable set of a free mini Fenty setting powder and mini Becca highlighter, with your purchase of Too Faced Born This Way Foundation.What Else You Need to Know: Too Faced Born This Way Foundation is an oil-free liquid foundation that provides medium-to-full coverage in a natural finish; available in 35 shades. Not your shade of Fenty setting powder and Becca highlighter? This custom multi-branded set comes in three different ranges: light, medium, and deep.This Set Contains:- 1 oz/ 30 mL Too Faced Born This Way Foundation- 0.02 oz /0.8 g Fenty Beauty by Rihanna Pro Filt’r Instant Retouch Setting Powder in Nutmeg- 0.04 oz/ 1.15 g Shimmering Skin Perfector Pressed in Topaz Note: promotions and discount offers do not apply to this set.","Foundation: Water, Cyclopentasiloxane, Glycerin, Aluminum Starch Octenylsuccinate, Isododecane, Polyglyceryl-4 Isostearate, Cetyl PEG/PPG-10/1 Dimethicone, Hexyl Laurate, Dimethicone, Ethylhexyl Methoxycinnamate, Magnesium Sulfate, Diphenyl Dimethicone, Tribehenin, Triethoxycaprylylsilane, Disteardimonium Hectorite, Polysilicone-11, Propylene Carbonate, Tetrahexyldecyl Ascorbate, Cocos Nucifera Water, Ethylhexyl Palmitate, Rhododendron Ferrugineum Extract, Alcohol, Silica Dimethyl Silylate, Lecithin, Pistacia Lentiscus (Mastic) Gum, Butylene Glycol, Potassium Sorbate, Sodium Hyaluronate, EDTA, Caprylyl Glycol, Phenoxyethanol. May Contain (+/-): Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499).Loose Powder:Talc, Silica, Dimethicone, Squalane, 1,2-Hexanediol, Caprylyl Glycol, Ethylhexylglycerin, Tocopheryl Acetate, Fragrance, Polymethylsilsesquioxane, Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Titanium Dioxide (Ci 77891).Pressed Highlighter: Mica, Talc, Caprylic/Capric Triglyceride, Isostearyl Alcohol, Petrolatum, Silica, Boron Nitride, Nylon-12, HDI/Trimethylol Hexyllactone Crosspolymer, Dimethicone, Magnesium Stearate, Polyethylene, Sorbitan Sesquioleate, Paraffin, Cera Microcristallina (Microcrystalline Wax/Cire Microcristalline), Calcium Sodium Borosilicate, Synthetic Fluorphlogopite, Calcium Aluminum Borosilicate, Polyethylene Terephthalate, Acrylates Copolymer, Triethoxycaprylylsilane, Potassium Sorbate, Tetrasodium EDTA, Chlorphenesin, Tin Oxide. May Contain [+/-]: CI 77891 (Titanium Dioxide), CI 77491/77492/77499 (Iron Oxides), CI 77742 (Manganese Violet), CI 75470 (Carmine).",https://sephora.com/product/sephora-favorites-sephora-favorites-medium-customizable-foundation-set-with-too-faced-born-this-way-foundation-P453904?icid2=products%20grid:p453904,Sephora
174,170,Laura Mercier,Flawless Lumière Radiance-Perfecting Foundation,foundation,48.0,4.8,"Find your perfect Laura Mercier Flawless Lumière Radiance-Perfecting Foundation shade!Flawless Lumière Radiance-Perfecting Foundation from Laura Mercier is a luminous liquid foundation with 15 hours of hydration and weightless medium to full coverage.Flawless Lumière Radiance-Perfecting Foundation from Laura Mercier delivers a perfectly glowing finish that looks luminous in any light.Immediate glow & improved natural luminosity within 1 week:Vitamin C boosts skin's luminosity, revealing brighter, clearer and more even toned skin over time - so even without makeup, your skin is naturally luminous. Skin appears more even and the appearance of dark spots are reduced after 4 weeks of use.Powerful 15 hour Hydration:Provides 15 hours of moisturization to visibly smooth and soften skin. Powered by Silver Ear Mushroom Extract to hydrate and smooth skin instantly, for maximum skin comfort. Replenishes skin while softening the look of fine lines and wrinkles.Weightless Medium to Full Coverage:The weightless medium to full coverage formula looks and feels like a second skin. Flexible polymers melt into skin to create a longwearing comfortable second skin and color-true pigments resist oxidation.Benefits:Naturally luminous finishIdeal for all skin types, especially normal to dryFormulation Details:Fragrance-freeNon-comedogenicDermatologist-testedThis product is an Allure Best of Beauty award winner.Clinical Results:83% agreed skin looked luminous and naturally-glowing90% agreed it did not look or feel greasy83% agreed skin looked radiantIndependent consumer testing with 29 women using Flawless Lumière Radiance-Perfecting Foundation, after 2 weeks","Water/Aqua/Eau, Cyclopentasiloxane, C30 Isohexadecane, Glycerin, Cetyl PEG/PPG-10/1 Dimethicone, Butylene Glycol, Polyglyceryl-4 Isostearate, Hexyl Laurate, PEG-10 Dimethicone, Diphenyl Dimethicone, Polymethyl Methacrylate, Dimethicone, Aluminum Starch Octenylsuccinate, Sodium Hyaluronate, Tocopherol, Tocopheryl Acetate, Tremella Fuciformis Sporocarp Extract, Ascorbyl Glucoside, Disodium Stearoyl Glutamate, Methicone, Octyldodecanol, Octyldodecyl Neopentanoate, Tetrahexyldecyl Ascorbate, Acrylates/ethylhexyl Acrylate Copolymer, Magnesium Sulfate, Nylon-12, Aluminum Hydroxide, Silica, Mica, Acetylated Glycol Stearate, Disteardimonium Hectorite, Betaine, Phytantriol, Cellulose Gum, Hexylene Glycol, Disodium EDTA, Laureth-21, Aminomethyl Propanol, Tin Oxide, Phenoxyethanol, Caprylyl Glycol, Potassium Sorbate. May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491), Iron Oxides (CI 77492), Iron Oxides (CI 77499).",https://www.ulta.com/flawless-lumiere-radiance-perfecting-foundation?productId=pimprod2012440,Ulta
167,162,jane iredale,Online Only PurePressed Base Mineral Foundation Refill,foundation,44.0,4.7,"Find your perfect jane iredale PurePressed Base Mineral Foundation shade!jane iredale's PurePressed Base Refill is a pressed mineral foundation that is slightly more sheer and matte than the loose powders.Benefits:Made from micronized minerals, oil free and weightless.An SPF foundation, powder and concealer with broad spectrum (UVA/UVB) sun protection. Either SPF 20 or SPF 15 depending on shade.*Water resistant to 40 minutes.Contains antioxidants such as Pine Bark Extract and Pomegranate Extract (a potent antioxidant that helps fight free radical production caused by sun exposure).Reef safe.Cruelty-Free.Goes well with their Refillable CompactRecommended by The Skin Cancer Foundation as an effective broad spectrum sunscreen.*SPF 20 shades: Amber; Autumn; Bisque; Caramel; Fawn; Golden Glow; Golden Tan; Honey Bronze; Ivory; Latte; Light Beige; Natural; Radiant; Riviera; Satin; Suntan; Sweet Honey; Teakwood; Warm Sienna; Warm SilkSPF 15 shades: Cognac; Velvet; Mahogany; Bittersweet; Cocoa; Warm Brown","Active: Titanium Dioxide 14%, Zinc Oxide 3%. Inactive: Mica, Boron Nitride, Dimethicone, Stearic Acid, Plankton Extract, Algae Extract, Pinus Strobus (Pine) Bark Extract, Punica Granatum (Pomegranate) Extract. May Contain: Iron Oxides (CI 77489, CI 77491, CI 77492, CI 77499), Ultramarines (CI 77007), Chromium Oxide Greens (CI 77288).",https://www.ulta.com/purepressed-base-mineral-foundation-refill?productId=pimprod2004116,Ulta
177,173,Lancôme,Teint Idole Ultra Longwear Foundation Stick SPF 21,foundation,43.0,4.7,"Lancôme Teint Idole Ultra Longwear Foundation Stick SPF 21 is a 24-hour, full-coverage concealer, contour stick and foundation in one.Benefits:This foundation stick's lightweight, silky texture applies seamlessly and blends effortlessly onto skin.Contains porous polymers that absorb excess acne-producing oils, leaving skin looking oil-free and matte.Formulated with broad spectrum SPF 21 for added sun protection. Long-lasting, transfer-resistant, smudge-resistant, oil-free foundation.Infused with ambora extract to help reduce appearance of redness on face.Portable, great for touch-ups or on the go.Suitable for all skin types.Click here for Lancome Teint Idole Ultra Longwear Foundation Stick before-and-after!","Active: Octinoxate 2.0 %, Titanium Dioxide 1.94%. Inactive: Cyclohexasiloxane, Phenyl Trimethicone, Isohexadecane, Polyethylene, Methyl Methacrylate Crosspolymer, Aluminum Calcium Sodium Silicate, Cyclopentasiloxane, Arachidyl Propionate, Tambourissa Trichophylla Leaf Extract, Perlite, Aluminum Hydroxide, Disodium Stearoyl Glutamate, Isopropyl Titanium Triisostearate, Lauroyl Lysine. May Contain: Mica, Titanium Dioxide, Iron Oxides, Ferric Ammonium Ferrocyanide.",https://www.ulta.com/teint-idole-ultra-longwear-foundation-stick-spf-21?productId=xlsImpprod14171045,Ulta
182,177,Laura Mercier,Flawless Fusion Ultra-Longwear Foundation,foundation,48.0,4.7,"Find your perfect Laura Mercier Flawless Fusion Ultra-Longwear Foundation shade!Flawless Fusion Ultra-Longwear Foundation from Laura Mercier is a 15-hour longwearing, oil free and transfer resistant liquid foundation with a matte finish and weightless medium to full coverage.Flawless Fusion Ultra-Longwear Foundation from Laura Mercier has all the wear, all the coverage, without the weight.15 Hours of Wear:Skin Fusion Technology seals the oil free formula into place for 15 hours of high performance, comfortable wear that's transfer, sweat, humidity and water resistant.Medium to Full Coverage:Coated pigments glide on to create buildable medium to full colour that beautifully evens out skin tone with colour that stays true and wears evenly.Matte Finish:The matte finish is never dull, flat or cakey and minimizes imperfections while silky fine powders help control oil immediately and throughout the day. Weightless texture looks, fits and feels like a second skin.Benefits:Ideal for all skin types, especially normal to oilyTransfer, sweat, humidity and water resistantFormulation Details:Oil freeFragrance-freeNon-comedogenicDermatologist-testedAfter 4 weeks of independent consumer testing, 324 women agreed:Feels weightless 100%Is comfortable on skin 100%Feels breathable on skin 97%Provides medium to full coverage 100%Is ultra-longwearing 97%Color does not oxidize 97%","Aqua/Water/Eau, Isododecane, Methyl Trimethicone, Cyclopentasiloxane, Butylene Glycol, PEG-9 Polydimethylsiloxyethyl Dimethicone, Silica, Dimethicone, Phenyl Trimethicone, Disteardimonium Hectorite, Acrylates/Dimethicone Copolymer, Sodium Chloride, Phenoxyethanol, Propylene Carbonate, Sodium Stearoyl Glutamate, Glycerin, Farnesyl Acetate, VP/VA Copolymer, Panthenyl Triacetate, Alcohol, Tocopheryl Acetate, Pistacia Lentiscus (Mastic) Gum, Lecithin. May Contain: CI 77891 (titanium Dioxide), CI 77491, CI 77492, CI 77499 (Iron Oxides).",https://www.ulta.com/flawless-fusion-ultra-longwear-foundation?productId=pimprod2012432,Ulta
103,99,bareMinerals,ORIGINAL Foundation Broad Spectrum SPF 15,foundation,31.0,4.6,"Find your perfect bareMinerals ORIGINAL Foundation Broad Spectrum SPF 15 shade!bareMinerals ORIGINAL Foundation Broad Spectrum SPF 15 is a clean, loose powder foundation made with just 5 mineral ingredients for breathable, buildable, sheer-to-full coverage that's naturally luminous.Meet the mineral makeup that changed everything. Original Foundation SPF 15 is a clean, 100% vegan formula made with only 5 mineral ingredients. It gives you a naturally luminous finish that feels weightless, wears all day, and won't clog your pores or cause breakouts. It's Makeup So Pure You Can Sleep In It! #1 Prestige Loose Powder Foundation in the U.S.*The effortlessly buildable formula lets you customize your coverage from sheer to full. When you use the signature SWIRL, TAP, BUFF method, the mineral pigments transform into a silky cream that blends seamlessly onto your skin, feels feather-light, and won't settle into pores or fine lines. You'll have a naturally luminous and healthy look, with the flawless finish of a liquid foundation and the feels-amazing breathability of a powder.Plus, mineral sunscreens give you safe and effective chemical-free protection from damaging UVA/UVB rays. It's everything your skin needs...and nothing it doesn't!*Source: The NPD Group, Inc. / U.S. Prestige Beauty Total Department/Specialty, Makeup Sales, 12 months ending February 2019Find your perfect bareMinerals Foundation & Concealer.","Active : Titanium Dioxide 12.6%, Zinc Oxide 21%. Inactive : Bismuth Oxychloride, Mica, Iron Oxides.",https://www.ulta.com/original-foundation-broad-spectrum-spf-15?productId=VP11362,Ulta
107,103,MAC,Studio Fix Powder Plus Foundation,foundation,31.0,4.6,"Find your perfect M·A·C Studio Fix Powder Plus Foundation shade!A one-step powder and foundation that gives skin a smooth, flawless, all-matte finish with medium-to-full coverage and a velvety texture that allows skin to breathe. Long-wearing, colour-true, non-caking, non-streaking, non-settling/creasing, non-fading - all for 12 hours. Available in a wide range of colours.Benefits:Long-wearing, 12 hoursReduces appearance of poresControls oil and shineNon-dryingFor all skin types, especially oily skinProvides stay-true colour, 12 hoursNon-fading, 12 hoursNon-streaking, 12 hoursNon-caking, 12 hoursNon-settling/creasing, 12 hoursPhoto-friendlyFind ULTA Beauty stores that carry M·A·C.","Talc, Silica, Isostearyl Palmitate, Methicone, Caprylyl Glycol, Hexylene Glycol, Phenoxyethanol. May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Chromium Oxide Greens (CI 77288), Ultramarines (CI 77007).Please read the ingredient list on the packaging of your product to be sure that the ingredients are appropriate for your personal use.",https://www.ulta.com/studio-fix-powder-plus-foundation?productId=xlsImpprod15921242,Ulta
126,120,Lancôme,Dual Finish Multi-Tasking Powder Foundation,foundation,41.0,4.6,"Lancôme Dual Finish Powder Foundation is a face powder with a weightless feel with a shine-free, natural matte finish. It does not cake or dry out skin.Benefits:In wet makeup application, Dual Finish's unique cosmetic emulsifiers allow this pressed foundation powder to function just like a liquid foundation.In dry makeup application, it's specialized emollients set onto skin seamlessly and condition skin's surface.If you're looking for the best foundation for coverage, Dual Finish can also be worn over Lancôme's Teint Idole full-coverage foundation for even more coverage.From normal to oily skin, dry to combination skin, it's suitable for all skin types.","Talc, Mineral Oil, Squalane, Zinc Laurate, Stearic Acid, Linalool, Geraniol, Glyceryl Stearate, Triethanolamine, Isoeugenol, Cholesterol, Coumarin, Aluminum Myristates/Palmitates, Cinnamyl Alcohol, Farnesol, Limonene, Lanolin, Hydroxycitronellal, Petrolatum, Citronellol, Benzyl Benzoate, Benzyl Salicylate, Fragrance, Alpha-Isomethyl Ionone, Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde, Hexyl Cinnamal, Butylparaben. May Contain: Mica, Titanium Dioxide, Iron Oxides.",https://www.ulta.com/dual-finish-multi-tasking-powder-foundation?productId=xlsImpprod3650148,Ulta
145,140,Clinique,Superpowder Double Face Makeup,foundation,28.5,4.6,"Clinique Superpowder Double Face Makeup is a powder and foundation combined in one portable compact. Long-wearing, full-coverage powder works as an over-foundation finisher or as a powder foundation. Extra-cling formula for double coverage.Features & Benefits:Solution for oilinessFor Dry Combination skinMatte finishFull coverageNon-acnegnicDermatologist testedAllergy tested100% fragrance freeOil freeSweat and humidity resistantFind your perfect Clinique Foundation - Click Here!","Talc, Isostearyl Linoleate, Titanium Dioxide, Octyldodecyl Stearoyl Stearate, Tocopherol, Hydrogenated Lecithin, Trimyristin, Alumina, Methicone, Tetrasodium EDTA, Phenoxyethanol, Potassium Sorbate.May Contain: Mica, Iron Oxides (CI 77491, CI 77492, CI 77499), Manganese Violet (CI 77742), Red 30 Lake (CI 73360), Carmine (CI 75470), Bismuth Oxychloride (CI 77163), Red 7 Lake (CI 15850), Ultramarines (CI 77007), Titanium Dioxide (CI 77891).Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",https://www.ulta.com/superpowder-double-face-makeup?productId=xlsImpprod10791897,Ulta
196,190,Clinique,Redness Solutions Makeup Broad Spectrum SPF 15 with Probiotic Technology,foundation,29.5,4.6,"Soothing oil-free makeup instantly colour-corrects flushing, blushing. Calming ingredients help minimize flare-ups. Beneficial probiotic technology helps strengthen skin's barrier. Keeps environmental triggers at bay with SPF plus antioxidants. Find your perfect Clinique Foundation - Click Here!","Active: Octinoxate 5.90%, Titanium Dioxide 3.70%, Zinc Oxide 2.90%.Inactive: Water / Aqua / Eau, Methyl Trimethicone, Phenyl Trimethicone, Dimethicone, Triethylhexanoin, Butylene Glycol, Trimethylsiloxysilicate, PEG-10 Dimethicone, Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone, Aluminum Hydroxide, C12-15 Alkyl Benzoate, Lactobacillus Ferment, Citrus Grandis (Grapefruit) Peel Extract, Magnolia Grandiflora Bark Extract, Poria Cocos Sclerotium Extract, Astrocaryum Murumuru Seed Butter, Glycerin, Caffeine, Sodium Myristoyl Sarcosinate, Caprylyl Methicone, Methicone, Polyglyceryl-6 Polyricinoleate, Disteardimonium Hectorite, Acetyl Glucosamine, Isopropyl Titanium Triisostearate, Dimethicone Crosspolymer-3, Lecithin, Tocopheryl Acetate, Laureth-7, Dimethicone / PEG-10 / 15 Crosspolymer, Sodium Chloride, Dipropylene Glycol, Disodium EDTA, Polyaminopropyl Biguanide, Phenoxyethanol. May Contain: Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499).Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",https://www.ulta.com/redness-solutions-makeup-broad-spectrum-spf-15-with-probiotic-technology?productId=xlsImpprod10791925,Ulta
