level_0,index,brand,product,product_type,price,rating,details,ingredients,url,store,id
350,345,Benefit Cosmetics,BADgals Lash & Line Eye Set,eyeliner,32.0,5.0,"A $58 value.Lash & line like a BADgal! Get full-blast volumized lashes and bold, defined eyes with Benefit's BADgals Lash & Line Eye Set. This value set features two of Benefit's bestselling BADgal BANG! volumizing mascaras - a full size intense pitch black & brightening blue mini. Paired with BADgal BANG! 24 Hour Eye Pencil in creamy, matte black to give your lashes & liner some serious BADitude!BADgals Lash & Line Eye Set includes: Full Size BADgal Bang! Volumizing Mascara in Intense Pitch Black (0.3 oz)Mini BADgal Bang! Volumizing Mascara in Brightening Blue (0.14 oz)Full Size BADgal Bang! 24 Hour Eye Pencil in Pitch Black (0.009 oz)","BADgal Bang Mascara In Intense Pitch Black: Aqua (Water), Paraffin, Cera Alba (Beeswax), Glyceryl Stearate, Butylene Glycol, Acrylates Copolymer, Euphorbia Cerifera (Candelilla) Wax, Copernicia Cerifera (Carnauba) Wax, Polybutene, Steareth-21, Vp/Eicosene Copolymer, Palmitic Acid, Stearic Acid, Phenoxyethanol, Steareth-2, Aminomethyl Propanediol, Panthenol, Caprylyl Glycol, Hydroxyethylcellulose, Silica Silylate, Tocopheryl Acetate, Nylon-12, Bht. CI 19140 (Yellow 5, Yellow 5 Lake), CI 42090 (Blue 1 Lake), CI 77007 (Ultramarines), CI 77163 (Bismuth Oxychloride), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77491, CI 77492, CI 77499 (Iron Oxides), CI 77510 (Ferric Ferrocyanide, Ferric Ammonium Ferrocyanide), CI 77742 (Manganese Violet), CI 77891 (Titanium Dioxide).BADgal Bang Eye Liner: Dimethicone, Synthetic Wax, Polymethylsilsesquioxane, Sucrose Tetrastearate Triacetate, Silica, Polybutene, Coco-Caprylate/Caprate, Hydrogenated Jojoba Oil, Trimethylsiloxysilicate/Dimethiconol Crosspolymer, Trimethylpentanediol/Adipic Acid/Glycerin Crosspolymer, Mica, Silica Silylate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate. CI 19140 (Yellow 5, Yellow 5 Lake), CI 42090 (Blue 1 Lake), CI 75470 (Carmine), CI 77007 (Ultramarines), CI 77163 (Bismuth Oxychloride), CI 77266 [Nano] (Black 2), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77491, CI 77492, CI 77499 (Iron Oxides), CI 77510 (Ferric Ferrocyanide, Ferric Ammonium Ferrocyanide), CI 77742 (Manganese Violet), CI 77891 (Titanium Dioxide).BADgal Bang Brightening Blue Mascara: Aqua (Water), Paraffin, Cera Alba (Beeswax), Glyceryl Stearate, Butylene Glycol, Acrylates Copolymer, Euphorbia Cerifera (Candelilla) Wax, Copernicia Cerifera (Carnauba) Wax, Polybutene, Silica, Steareth-21, Vp/Eicosene Copolymer, Palmitic Acid, Stearic Acid, Phenoxyethanol, Steareth-2, Aminomethyl Propanediol, Caprylyl Glycol, Panthenol, Hydroxyethylcellulose, Silica Silylate, Tocopheryl Acetate, Methicone, Nylon-12. CI 19140 (Yellow 5, Yellow 5 Lake), CI 42090 (Blue 1 Lake), CI 77007 (Ultramarines), CI 77163 (Bismuth Oxychloride), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77491, CI 77492, CI 77499 (Iron Oxides), CI 77510 (Ferric Ferrocyanide, Ferric Ammonium Ferrocyanide), CI 77742 (Manganese Violet), CI 77891 (Titanium Dioxide).Product ingredient listings are updated periodically. Before using a Benefit product, please read the ingredient list on the packaging of your product to be sure that the ingredients are appropriate for your personal use.",https://www.ulta.com/badgals-lash-line-eye-set?productId=pimprod2010474,Ulta,12
380,373,Butter London,Online Only Power Play Mascara and Eyeliner Duo,eyeliner,22.0,5.0,"Reach for the Butter London Power Play Mascara and Eyeliner Duo for an eye look that lasts from day 'til shut-eye! Power Up All Day Wear Liquid Eyeliner is precise and smudge-proof. Power Up All Day Wear Mascara delivers length and curl with long-lasting, flexible 8-hour wear.A $39 value.Set Includes:Power Up All Day Wear Mascara (0.44 oz)Power Up All Day Wear Liquid Eyeliner (0.016 oz)Mascara:Longwear (8+ hours of wear)Creamy, water-resistant formula with comfortable flexible wearUnique nourishing wax blend delivers instant length, dramatic curl & definitionInfused with Jojoba Extract to soften & hydrate eyelashes, so they appear thicker and more volumized over timeDual-Purpose curved mascara brush has micro-combs for precise application and soft-flex bristles stretch & lengthen the look of eyelashesSpecialized Polymer reduces smudging and flakingOil Free - 100% safe for lash extensionsGluten-Free, Paraben-Free, Cruelty-FreeClaims:No clumping, smudging or flaking84% of women thought their lashes looked instantly amplified84% of women agree that this mascara is weather-proof95% of women found their lashes felt hydrated and soft, even after they removed makeupLiquid Eyeliner:Smooth and creamy liquid eyeliner formula never fades or splotches upon applicationPrecision brush pen tip lasts longer than felt and doesn't dry up the formulaAll-day wear is powered by polymers that work to resist water and sweatNo smudging or fadingOil Free - 100% safe for lash extensionsVegan, Gluten-Free, Paraben-Free, Cruelty-Free","Power Up Mascara: Aqua (Water/Eau), Cera Alba/Beeswax/Cire d'abeille, Synthetic Beeswax, Jojoba Esters, Styrene/Acrylates/Ammonium Methacrylate Copolymer, Cera Carnauba/Copernicia Cerifera (Carnauba) Wax/Cire de Carnauba, Glycerin, Synthetic Wax, Stearic Acid, Palmitic Acid, Isostearic Acid, Aminomethyl Propanediol, Acacia Senegal Gum, Phenoxyethanol, Caprylyl Glycol, Hydroxyethylcellulose, Butylene Glycol, Sodium Laureth - 12 Sulfate, Myristic Acid, Arachidic Acid, Behenic Acid, C11-15 Pareth-7, Oleic Acid, Potassium Sorbate, Tetrasodium EDTA, Tocopherol, CI 77499 (Iron Oxides).Power Up Eyeliner: Aqua/Eau/Water, Acrylates Copolymer, Styrene/Acrylates Copolymer, Propylene Glycol, Glycerin, Ethylhexyl Palmitate, Polysorbate 20, Sorbitan Trioleate, Ethylhexylglycerin, Phenoxyethanol, Chlorphenesin, Simethicone. May Contain: CI 77266 (Black 2).",https://www.ulta.com/power-play-mascara-eyeliner-duo?productId=pimprod2010769,Ulta,12
314,309,Lancôme,Artliner Precision Point Liquid Eyeliner,eyeliner,30.5,4.6,"Lancôme Artliner Precision Felt-Tip Liquid Eyeliner is ideal for eyeliner wings and cat eyes. It is easy-to-apply and is richly pigmented.Benefits:A smudge-proof eyeliner with unique, double film-forming set of polymers for vibrant color.From dramatic eye makeup to smokey eye makeup, the felt-tipped pen allows for ultimate precision, making it one of the best liquid eyeliners for eyeliner wings, a cat eye, or to use as a tightline eyeliner.Create flawless eye definition with long-lasting lines and intense color payoff.","Black Satin: Aqua / Water / Eau, Propylene Glycol, Acrylates Copolymer, Polyester-5, Alcohol Denat., Trilaureth-4 Phosphate, Tin Oxide, Calcium Sodium Borosilicate Silica, Xanthan Gum, Synthetic Fluorphlogopite, Imidazolidinyl Urea, Methylparaben, Sodium Dehydroacetate, Propylparaben. May Contain: CI 42090 / Blue 1 Lake, CI 75470 / Carmine, CI 77007 / Ultramarines, CI 77163 / Bismuth Oxychloride, CI 77288 / Chromium Oxide Greens, CI 77400 / Bronze Powder, CI 77491, CI 77492, CI 77499 / Iron Oxides, CI 77510 / Ferric Ferrocyanide, CI 77891 / Titanium Dioxide, Mica.",https://www.ulta.com/artliner-precision-point-liquid-eyeliner?productId=xlsImpprod3650102,Ulta,12
321,315,Tarte,Double Duty Beauty Easy On The Eyes Clay Liner,eyeliner,19.0,4.6,"Only at ULTA!Get the perfect line every time that lasts for 16 hours (yaaaasss!) with Tarte's waterproof, creamy Double Duty Beauty Easy On The Eyes Clay Liner that easily glides on lids. Swipe on & you're off!Benefits:Creamy formula easily glides on without budging or smudgingWeightless & waterproof to stay put throughout your non-stop day (& night) - even on your waterline!Formulated with clay to deliver vibrant, saturated color in an easy-to-use eyeliner pencilWhy Tarte Loves It: It's a total liner hack - you can't mess this up!Skinvigorating Ingredients:Amazonian clay: Nature's most perfect ingredient for better, longer, truer wearMineral pigments: Soothe & soften your skinFinal Claims:Ophthalmologist testedSafe for inner rimSafe for contact lens wearersWaterproofSmudgeproof16-hour wear","Bronze: Cyclopentasiloxane, Trimethylsiloxysilicate, Mica, Polyethylene, Synthetic Wax, Isododecane, Ceresin, Calcium Sodium Borosilicate, Polyglyceryl-2 Triisostearate, Polyisobutene, Dimethicone, Methicone, Kaolin, Iron Oxides (CI 77491, CI 77499), Titanium Dioxide (CI 77891).",https://www.ulta.com/double-duty-beauty-easy-on-eyes-clay-liner?productId=pimprod2004890,Ulta,12
334,326,Urban Decay,Heavy Metal Glitter Eyeliner,eyeliner,21.0,4.6,"All the glitz of glam rock (without the spandex or bad hair). Urban Decay's Heavy Metal Glitter Eye Liner is a water-based, buildable liner that contains super-fine glitter in a clear base that dries down quickly and REALLY stays put. The glitter is suspended in a gel, so it won't separate in the bottle (which means you don't need to shake the bottle like you do with watery formulas). Peach and cucumber extract condition the skin, while carrot extract smooths and softens. The precise, thin-tipped brush makes it easy to create fine, glittery lines. Want more sparkle? Use the side of the brush to sweep sparkle all over your lids. Or, for an even bolder, jewel-encrusted look, remove the wiper (the little piece that controls how much product comes out of the bottle) and tap on Heavy Metal with your fingers.Urban Decay is 100% cruelty-free.Lock in any look for up to 16 hours with Urban Decay All Nighter Makeup Setting Spray.","Midnight Cowboy: Aqua (Water/Eau), Polyethylene Terephthalate, Propylene Glycol, Glycerin, PVP, Phenoxyethanol, Polyurethane-11, PVM/MA Decadiene Crosspolymer, Methylparaben, Sodium Hydroxide, Disodium EDTA, Butylparaben, Ethylparaben, Cucumis Sativus (Cucumber/Concombre) Fruit Extract, Daucus Carota Sativa (Carrot/Carotte) Root Extract, Prunus Persica (Peach/Pêche) Fruit Extract, Isobutylparaben, Propylparaben.",https://www.ulta.com/heavy-metal-glitter-eyeliner?productId=xlsImpprod5870114,Ulta,12
351,346,Eyeko,Black Magic Eyeliner,eyeliner,22.0,4.6,"Created in Japan and inspired by traditional calligraphy brushes, Eyeko Black Magic Liquid Eyeliner, their latest precision brush tip liner makes application effortless even for liquid liner novices. Smooth, fluid single stroke colour glides on and stays on for on all day finish without fading.Benefits:Contains Widelash with a tripeptide boost to promote lash growth for up to 3x more length and volume in 15 daysJapanese precision brush tip for single stroke colourWaterproof, long-wear, fade-proofCarbon BlackEasy To Use And Good For Your Lashes? Count Us In -nylon","Aqua (Water), Butylene Glycol, Acrylates Copolymer, Alcohol, Steareth-20, Glycerin, Bentonite, Biotinoyl Tripeptide-1, Cellulose Gum, Citric Acid, Glyceryl Stearate, Panthenol, PEG-40 Hydrogenated Castor Oil, Phenoxyethanol, Polyglyceryl-10 Oleate, PVP, Simethicone, Sodium Citrate, Sodium Dehydroacetate, Sorbitan Stearate. May Contain: CI 77266 (Black 2).",https://www.ulta.com/black-magic-eyeliner?productId=xlsImpprod13631061,Ulta,12
378,372,Maybelline,Hyper Easy Waterproof Liquid Liner In Pitch Black,eyeliner,8.99,4.6,"Introducing the liquid liner minus the skips, slips, gaps and struggle. Maybelline's Liquid Liner goes Hyper Easy. With its Hyper Easy Brush Tip, it delivers the smoothest glide, fitting to the shape of your eye. The revolutionary flex tip brush and custom hexagonal grip gives optimal control and easy, stable application. Available in Pitch Black, it lasts up to 24 hours with intense color that doesn't smudge. Ophthalmologist tested and suitable for sensitive eyes and contact lenses.","Aqua/Water/Eau, Styrene/Acrylates Copolymer, Propylene Glycol, Laureth-21, Pentylene Glycol, Peg-40 Hydrogenated Castor Oil, Phenoxyethanol, Ammonium Acrylates Copolymer, Caprylyl Glycol, Ppg-2-Deceth-30, Sodium Dehydroacetate, Sodium Lauryl Sulfate, Disodium Laureth Sulfosuccinate. [+/- May Contain CI 77266/Black 2] D238371/1.",https://www.ulta.com/hyper-easy-waterproof-liquid-liner-in-pitch-black?productId=pimprod2011774,Ulta,12
294,288,Stila,Stay All Day Waterproof Liquid Eyeliner,eyeliner,22.0,4.5,"From thin, precise lines, to thick, dramatic strokes, Stila's #1 selling waterproof liquid eyeliner glides on with ease, dries quickly and won't smudge or run, day-into-night. The fine marker-like tip offers precise application for everyone from novices to pros and results in beautifully defined eyes that will leave a lasting impression.Key Benefits:Waterproof and easy-to-useGoes on smoothly without skippingLasts all day long!","Water/Aqua, Styrene/Acrylates Copolymer, Butylene Glycol, Beheneth-30, Sodium Polyaspartate,Phenoxyethanol, Alcohol, Methylparaben, Propylparaben, Sodium Dehydroacetate, Disodium EDTA, Acrylates/Octylacrylamide Copolymer, Sodium Hydroxide, Xanthan Gum. May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Ferric Ammonium Ferrocyanide (CI 77510), Black 2 (CI 77266).",https://www.ulta.com/stay-all-day-waterproof-liquid-eyeliner?productId=xlsImpprod1840049,Ulta,12
296,291,Tarte,Tarteist Double Take Eyeliner,eyeliner,24.0,4.5,"Get the perfect wing every time with these gel & liquid partners in line! Tarte's Tarteist Double Take Eyeliner is a bestselling vegan, dual-ended eyeliner that has waterproof liquid & gel formulas that will cause some serious double takes. Creates a wide range of eye looks with longwear 2-in-1 liquid & gel pencil eyeliner. Both formulas glide on & lock down without ever streaking or smearing.Benefits:Amazonian clay-infused gel pencil glides along the inner rim to define & tightlineSlick liquid eyeliner goes on glossy & dries instantly to a semi-matte, opaque finishSoft-flex tip deposits even, saturated color perfect for an ultra-fine line or crisp cat eyeAlways formulated without:ParabensMineral OilPhthalatesTriclosanSodium Lauryl SulfateGlutenSkinvigorating Ingredients:Amazonian Clay: Nature's most perfect ingredient for better, longer, truer wearMineral Pigments: Soothe & soften skin around the lashlineFinal Claims:Tarte 12-hour powerWaterproofVeganOphthalmologist testedSafe for contact lens wearersDermatologist testedCruelty free(0.0035 oz; 0.0169 oz)","Black Pencil: Water/Aqua/Eau, Acrylates/Ethylhexyl Acrylate/HEMA Copolymer, Propylene Glycol, Ammonium Acrylates Copolymer, Acrylates/Diethylaminoethyl Methacrylate/Ethylhexyl Acrylate Copolymer, Laureth-21, PEG-40 Hydrogenated Castor Oil, Phenoxyethanol, Caprylyl Glycol, Butylene Glycol, Isodeceth-6, Potassium Sorbate, Sodium Laureth Sulfate, Ethylhexylglycerin, Sodium Dehydroacetate, Black 2 (Nano) (CI 77266).Black Liquid: Isododecane, Cyclopentasiloxane, Trimethylsiloxysilicate, Cylohexasiloxane, Synthetic Fluorphlogopite, Polyethylene, Microcrystalline Wax/Microcristallina Cera/Cire Microcristalline, Cera Carnauba/Copernicia Cerifera (Carnauba) Wax/Cire De Carnauba, Ozokerite, Methyl Hydrogenated Rosinate, Polyglyceryl-2 Triisostearate, Silica, Sorbitan Isostearate, Kaolin, Black 2 (Nano) (CI 77266), Iron Oxide (CI 77499).",https://www.ulta.com/tarteist-double-take-eyeliner?productId=xlsImpprod14291041,Ulta,12
297,292,Tarte,Sex Kitten Liquid Liner,eyeliner,20.0,4.5,"It gives intense #sexkitten payoff that's totally goofproof thanks to a super skinny felt tip that deposits an even, steady stream of pigment that lasts 12 hours. The elongated, soft-flex applicator & quick-dry, triple-black formula is a liquid dream & gives you ultimate control in creating a crisp line that hugs lashes without skipping.Tarte is 100% cruelty-free.","Water/Aqua/Eau, Acrylates/Ethylhexyl Acrylate/HEMA Copolymer, Propylene Glycol, Ammonium Acrylates Copolymer, Acrylates/Diethylaminoethyl Methacrylate/Ethylhexyl Acrylate Copolymer, Laureth-21, PEG-40 Hydrogenated Castor Oil, Caprylyl Glycol, Butylene Glycol, Isodeceth-6, Sodium Laureth Sulfate, Ethylhexylglycerin, Algae Extract, Glycerin, Phenoxyethanol, Potassium Sorbate, Sodium Dehydroacetate, Black 2 (CI 77266).",https://www.ulta.com/sex-kitten-liquid-liner?productId=xlsImpprod16321392,Ulta,12
