index,brand,product,product_type, price ,rating,details,ingredients,url,store
0,KYLIE COSMETICS,Blush,blush, 18.00 , 4.1 ,"Only at ULTA The KYLIE COSMETICS Blush single is your secret weapon to create the perfect Kylie Jenner flush. Sweep blush onto the apples of your cheeks and blend upward for a fresh, lit from within glow. Choose from any of the 6 colors below or combine two together to create your signature blend! Each blush single comes with 1 matte pressed powder blush that can be used to recreate Kylie's favorite looks or customize your own. Shades: Kitten Baby (light apricot) Baddie on the Block (mid-tone clean pink) Close to Perfect (dusty peach) We're Going Shopping (clean coral) Rosy (mid-tone berry) Pink Power (pale pink)  KYLIE COSMETICS is CRUELTY-FREE. Find the Ulta nearest you that carries Kylie Cosmetics & Skin products HERE.","Talc, Distarch Phosphate, Magnesium Myristate, Ethylhexyl Palmitate, Silica, Octyldodecyl Stearoyl Stearate, Dimethicone, Phenoxyethanol, Butyrospermum Parkii (Shea) Butter, Caprylyl Glycol, Octocrylene, Ethylhexylglycerin, Hexylene Glycol. May Contain: Bismuth Oxychloride (CI 77163), Blue 1 Lake (CI 42090), Iron Oxides (CI 77491, CI 77492, CI 77499), Mica (CI 77019), Red 6 (CI 15850), Red 7 Lake (CI 15850), Red 28 Lake (CI 45410), Red 40 Lake (CI 16035), Titanium Dioxide (CI 77891), Yellow 5 Lake (CI 19140).",https://www.ulta.com/blush?productId=pimprod2007190,Ulta
1,MAC,Powder Blush,blush, 25.00 , 4.5 ,"Designed by and for professionals. Formulated to provide fantastic colour with ease and consistency. Applies evenly, adheres lightly to skin to achieve a natural-looking application of colour that stays put all day.Find ULTA Beauty stores that carry M·A·C.","Desert Rose: Talc, Octyldodecyl Stearoyl Stearate, Zinc Stearate, Isostearyl Neopentanoate, Tocopheryl Acetate, Caprylyl Glycol, Hexylene Glycol, Phenoxyethanol. May Contain: Silica, Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Bismuth Oxychloride (CI 77163), Blue 1 Lake (CI 42090), Carmine (CI 75470), Chromium Hydroxide Green (CI 77289), Chromium Oxide Greens (CI 77288), Ferric Ferrocyanide (CI 77510), Manganese Violet (CI 77742), Red 6 (CI 15850), Red 6 Lake (CI 15850), Red 7 Lake (CI 15850), Red 28 Lake (CI 45410), Red 30 Lake (CI 73360), Ultramarines (CI 77007), Yellow 5 Lake (CI 19140), Yellow 6 Lake (CI 15985).",https://www.ulta.com/powder-blush?productId=xlsImpprod15921200,Ulta
2,NARS,Blush,blush, 30.00 , 4.7 ,"The #1 selling blush in the U.S.* - Source: The NPD Group, Inc./BeautyTrends, U.S. Prestige Makeup Retail Unit Sales, January-October 2019.Cult-favorite NARS Blush delivers a weightless, natural-looking rush of color in matte, satin and shimmering finishes. Superfine micronized powder pigments ensure an irresistibly soft, blendable application for a naturally flushed effect. Buildable pigments allow control of color intensity for subtle to bold effects on every skin tone.""Most of my blushes are rarely one hue - they're a mix of different colors - so playing around with shades can be a lot of fun."" - François Nars, Founder & Creative Director","Orgasm: Talc, Cetearyl Isononanoate, Zinc Stearate, Cetyl Acetate, Stearoxy Dimethicone, Isopropyl Lanolate, Silica, Propylparaben, Triclosan, Methylparaben, Acetylated Lanolin Alcohol, BHA. May Contain): Mica, CI 77891 (Titanium Dioxide), CI 77491 (Iron Oxides), CI 77492 (Iron Oxides), CI 77499 (Iron Oxides), CI 77742 (Manganese Violet), CI 45410 (Red 28 Lake), CI 73360 (Red 30 Lake), CI 17200 (Red 33 Lake), CI 15880 (Red 34 Lake).",https://www.ulta.com/blush?productId=xlsImpprod15081842,Ulta
3,MAC,Mineralize Blush,blush, 30.00 , 4.4 ,"Baked minerals refined into a powder formula provide an exceptionally sheer application. Lightweight formula glides onto skin to achieve luminous colour that builds lightly, layer after layer, without heavy coverage. Veils and enhances the cheekbones with a pearlized shimmer or matte finish.Benefits:Dermatologist testedOphthalmologist testedNon-acnegenicFor all skin typesFeatures M·A·C Multi-Mineral ComplexFind ULTA Beauty stores that carry M·A·C.","Dainty: Mica, Talc, Dimethicone, Isopropyl Palmitate, Tocopheryl Acetate, Lauroyl Lysine, Simmondsia Chinensis (Jojoba) Seed Oil, Yeast Extract / Faex / Extrait De Levure, Cetearyl Ethylhexanoate, Isohexadecane, Octyldodecyl Stearoyl Stearate, Glyceryl Ethylhexanoate / Stearate / Adipate, Ethylhexyl Methoxycinnamate, Magnesium Aluminum Silicate, Calcium Aluminum Borosilicate, Calcium Sodium Borosilicate, Silica, Tin Oxide, Nylon-12, Synthetic Fluorphlogopite, Acrylamide / Sodium Acryloyldimethyltaurate Copolymer, Zea Mays (Corn) Starch, Polysorbate 20, Polysorbate 80, Sorbitan Stearate, Phenoxyethanol, Sodium Dehydroacetate. May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491), Iron Oxides (CI 77492), Iron Oxides (CI 77499), Bismuth Oxychloride (CI 77163), Blue 1 Lake (CI 42090), Carmine (CI 75470), Chromium Hydroxide Green (CI 77289), Chromium Oxide Greens (CI 77288), Ferric Ammonium Ferrocyanide (CI 77510), Ferric Ferrocyanide (CI 77510), Manganese Violet (CI 77742), Red 6 (CI 15850), Red 7 (CI 15850), Red 7 Lake (CI 15850), Ultramarines (CI 77007), Yellow 5 Lake (CI 19140), Yellow 6 Lake (CI 15985).",https://www.ulta.com/mineralize-blush?productId=xlsImpprod15921186,Ulta
4,Morphe,Morphe X Manny MUA Glam Palette,blush, 20.00 , 3.1 ,"Exclusive.This is your chance to step into a gorgeous world that only Manny MUA could dream of. The Morphe X Manny MUA Glam Palette is a mirrored palette that pairs up 12 ethereal eyeshadows in matte and shimmer finishes with two out-of-this-world highlighters. Yes. You've got every reason to be shook.Shade Names:Row 1: Dust Cloud (matte peach crème), Scorpio (shimmering warm gold), Fire Witch (matte coral), Leo (shimmering bronze)Row 2: Sophie (matte toasted almond), Spellbound (matte rosewood), Cancer (shimmering plum), Zaya (matte cappuccino)Row 3: Boy Next Door (matte camel), Gamenta (matte magenta), Aries (shimmering peacock), Howl (matte chocolate)Highlighters: Apollo (golden apricot shimmer), Nova (gleaming pink pearl)","Eyeshadow: Mica, Synthetic Fluorphlogopite, Talc, Dimethicone, Bis-Diglyceryl Polyacyladipate-2, Tridecyl Trimellitate, Phenyl Trimethicone, Magnesium Stearate, Kaolin, Ethylhexyl Palmitate, Octyldodecyl Stearoyl Stearate, Polyethylene, Dimethicone Crosspolymer, Nylon-12, Polymethylsilsesquioxane, Silica, Phenoxyethanol, Ethylhexylglycerin, Caprylyl Glycol, Tin Oxide. May Contain: Iron Oxides (CI 77491, Ci 77492, CI 77499), Titanium Dioxide (CI 77891), Carmine (CI 75470), Black 2 (CI 77266), Red 40 Lake (CI 16035), Ultramarines (CI 77007).Highlighter: Mica, Dimethicone, Synthetic Fluorphlogopite, Caprylic/Capric Triglyceride, Magnesium Myristate, Magnesium Myristate, Polyethylene, Polypropylene, Nylon-12, Phenoxyethanol, Tocopheryl Acetate, Caprylyl Glycol, Ethylhexylglycerin, Tin Oxide. May Contain: Iron Oxides (CI 77491, CI 77492, CI 77499), Titanium Dioxide (CI 77891), Red 6 (CI 15850), Bismuth Oxychloride (CI 77163).",https://www.ulta.com/morphe-x-manny-mua-glam-palette?productId=pimprod2011776,Ulta
5,NARS,Mini Orgasm Duo,blush, 22.00 , 4.5 ,"Exclusive.A $39 value.NARS Mini Orgasm Duo is a set of lip gloss and blush in the iconic and universally flattering Orgasm shade.Mini Orgasm Duo includes:Mini Orgasm Blush (0.12 oz)Mini Orgasm Lip Gloss (0.12 oz)Dare to pair the iconic peachy pink hue on lips and cheeks with a duo featuring Mini Orgasm Blush and Mini Orgasm Lip Gloss. Because there's no one way to Orgasm.NARS Blush delivers healthy-looking color that enlivens the complexion and provides a natural-looking flush to flatter any skin tone. Silky, superfine micronized powder pigments ensure irresistibly soft, blendable application.Boasting sophisticated shine and stunning color, NARS Lip Gloss lavishes lips for subtle everyday glamour. The formula is enriched with nourishing ingredients for long-lasting, smooth, comfortable wear and a luminous shine. Potent sea lavender helps protect against the signs of aging and helps keep lips soft and supple while hydrating and smoothing the appearance of fine lines. The doe-foot applicator glides smoothly across lips with comfort and precision, leaving deep shine and shimmering color for comfortable non-sticky wear.","Mini Orgasm Blush: Talc, Cetearyl Isononanoate, Zinc Stearate, Cetyl Acetate, Stearoxy Dimethicone, Isopropyl Lanolate, Silica, Propylparaben, Triclosan, Methylparaben, Acetylated Lanolin Alcohol, BHA. May Contain): Mica, CI 77891 (Titanium Dioxide), CI 77491 (Iron Oxides), CI 77492 (Iron Oxides), CI 77499 (Iron Oxides), CI 77742 (Manganese Violet), CI 45410 (Red 28 Lake), CI 73360 (Red 30 Lake), CI 17200 (Red 33 Lake), CI 15880 (Red 34 Lake).Mini Orgasm Lip Gloss: Polybutene, Octyldodecanol, Hydrogenated Polyisobutene, Beeswax/Cera Alba/Cire D'abeille, Caprylic/Capric Triglyceride, Vegetable Oil/Olus/Huile Végétale, Bis-Diglyceryl Polyacyladipate-2, Hydrogenated Polycyclopentadiene, Isododecane, Phenoxyethanol, Ozokerite, Trihydroxystearin, Dipalmitoyl Hydroxyproline, Limonium Gerberi Extract, [+/- (May Contain/Peut Contenir): Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491), Iron Oxides (CI 77492), Iron Oxides (CI 77499), Carmine (CI 75470), Red 30 Lake (CI 73360), Red 7 Lake (CI 15850), Yellow 5 Lake (CI 19140).",https://www.ulta.com/mini-orgasm-duo?productId=pimprod2011417,Ulta
6,Tarte,Amazonian Clay 12 Hour Blush,blush, 29.00 , 4.6 ,"A long-wearing, supremely soft blush infused with Amazonian clay harvested from the banks of the Amazon River and naturally baked by the sun.This 12-hour blush universally benefits all skin types for a fade-free, flawless finish in shades ranging from soft to vivid and matte to shimmer to suit a wide variety of skin tones.Powered by:Amazonian Clay: Minimizes oil in and around pores to balance skin and keep product in place while also hydrating the skin naturally to restore moisture, reducing the appearance of dry, flaky skin.Final Claims:Dermatologist testedCruelty freeSee Tarte's Amazonian Clay 12 Hour Blush Guide here!.","Blissful: Talc, Zinc Stearate, Polyethylene, Tricaprylin, Caprylic/Capric Triglyceride, Cera Alba/Beeswax/Cire D'abeille, PEG-150 Distearate, Lanolin, Laureth-4, Tocopherol, Ascorbyl Palmitate, Kaolin, Polysorbate 20, Chlorphenesin, Tetrasodium EDTA, Potassium Sorbate. May Contain: Bismuth Oxychloride (CI 77163), Iron Oxides (CI 77491, CI 77492, CI 77499), Red 7 Lake (CI 15850), Red 27 (CI 45410), Red 6 (CI 15850), Ultramarines (CI 77007).",https://www.ulta.com/amazonian-clay-12-hour-blush?productId=xlsImpprod3330153,Ulta
7,ULTA,Mad for Mauve Blush Palette,blush, 18.00 , 4.5 ,Ulta's Mad for Mauve Blush Palette features 6 blushes in matte and shimmer shades to match any skintone and look.Shades Include (from left to right and top to bottom):Primrose (shimmer)Seashell (shimmer)Blossom (shimmer)Raspberry (shimmer)Tulip (matte)Pink Punch (matte)(0.11 oz each)California residents - click here for Proposition 65 warning,"Talc, Mica, Magnesium Stearate, Cetyl PEG / PPG-10 / 1 Dimethicone, Phenyl Trimethicone, Silica, Ethylhexyl Palmitate, Phenoxyethanol, Decylene Glycol, Hydrated Silica, Lauroyl Lysine, Trihydroxysterain, Hydrogenated Castor Oil, Ozokerite, Propylene Glycol, Tin Oxide. May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77499, CI 77491, CI 77492), Red 40 (CI 16035), Carmine (CI 75470), Red 6 (CI 15850), Yellow 5 (CI 19140).",https://www.ulta.com/mad-mauve-blush-palette?productId=xlsImpprod16501197,Ulta
8,bareMinerals,Blush,blush, 22.00 , 4.7 ,"Get cheeky with a pop of color that brightens your face and defines your features. Creamy, lightweight bareMinerals Blush gives your skin a healthy, fresh vibrancy that looks and feels natural - because it is natural.Benefits:Uses a healthy mix of 100% pure bareMineralsKeeps your skin clear of preservatives, fillers, binders, and build-upGives your face a warm, beautiful hueProvides a pop of pure, vivid colorLets you layer colors for added richnessHas a creamy texture that buffs on silky smoothOffers versatile color for cheeks, lips and eyesWorks beautifully for all skin tones and types, including sensitive and problem-prone skinFeatures ""Click, Lock, Go"" sifter.","Mica. May Contain: Carmine (CI 75470), Bismuth Oxychloride (CI 77163), Iron Oxides (CI 77491, CI 77492, CI 77499), Titanium Dioxide (CI 77891), Manganese Violet (CI 77742), Ultramarines (CI 77007), Ferric Ferrocyanide (CI 77510), Ferric Ammonium Ferrocyanide (CI 77510), Zinc Oxide (CI 77947).",https://www.ulta.com/blush?productId=VP11360,Ulta
9,Smashbox,Cali Kissed Highlight + Blush Palette,blush, 40.00 , 4.8 ,"Cali Kissed Highlight + Blush Palette by Smashbox is a versatile makeup palette featuring 4 shimmer highlights & 2 matte blush powders that can be used on face & eyes to create a fresh, California glow.Customize your own California glow or create a look that's entirely you. This highlight & blush palette can be used to enhance your features with a soft wash of color or build layers for full-on radiance. Use the shimmer shades to instantly transform any matte to shimmer.Benefits:4 shimmer highlighters & 2 matte blushes; shimmer can be used to transform matte shades to shimmerCreates a customized, buildable glow from natural to vibrantCan be used on face & eyesCruelty freeFormulated without phthalates, PEG, sulfate, parabens, retinyl palmitate, BHT, BHA, sulfite, alcohol, petrolatum, formaldehyde and formaldehyde donors, hydroquinone, triclosan, triclocarban, SLS & SLE.Shades include:Crank It Up Champs (warm champagne shimmer)Crank It Up Bronze (warm bronze shimmer)Persimmon (matte coral)Pink Nightie (peach shimmer)Crank It Up Rosé (cool dusty rose shimmer)Dragon Fruit (matte bright pink)Use It With:The Cali Contour PalettePhoto Finish Primer Water","Crank It Up Champs, Crank It Up Bronze, Crank It Up Rosé: Talc, Zinc Stearate, Nylon-12, Lauroyl Lysine, Panthenol, Mineral Oil\Paraffinum Liquidum\Huile Minerale, Dimethicone, Ethylhexyl Palmitate, Tin Oxide, Calcium Sodium Borosilicate, Isopentyldiol, Boron Nitride, Caprylyl Glycol, Phenoxyethanol. May Contain: Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491), Iron Oxides (CI 77492), Iron Oxides (CI 77499), Bismuth Oxychloride (CI 77163), Blue 1 Lake (CI 42090), Carmine (CI 75470), Chromium Hydroxide Green (CI 77289), Chromium Oxide Greens (CI 77288), Ferric Ammonium Ferrocyanide (CI 77510), Ferric Ferrocyanide (CI 77510), Manganese Violet (CI 77742), Ultramarines (CI 77007), Yellow 5 Lake (CI 19140).Persimmon, Dragon Fruit: Mica, Octyldodecyl Stearoyl Stearate, Zinc Stearate, Tocopherol, Lauroyl Lysine, Ascorbyl Palmitate, Camellia Sinensis Leaf Extract, Water\Aqua\Eau, Caprylyl Glycol, Isopentyldiol, Phenoxyethanol. May Contain: Iron Oxides, (CI 77491, CI 77492, CI 77499), Titanium Dioxide (CI 77891), Bismuth Oxychloride (CI 77163), Blue 1 Lake (CI 42090), Carmine (CI 75470), Ferric Ferrocyanide (CI 77510), Manganese Violet (CI 77742), Red 6 (CI 15850), Red 7 Lake (CI 15850), Red 22 Lake (CI 45380), Red 28 Lake (CI 45410), Red 30 Lake (CI 73360), Red 33 Lake (CI 17200), Red 34 Lake (CI 15880), Red 36 Lake (CI 12085), Yellow 5 Lake (CI 19140), Yellow 6 Lake (CI 15985), Ultramarines (CI 77007).Pink Nightie: Talc, Zinc Stearate, Boron Nitride, Dimethicone, Nylon-12, Mineral Oil\Paraffinum Liquidum\Huile Minerale, Ethylhexyl Palmitate, Silica, Panthenol, Isopentyldiol, Caprylyl Glycol, Phenoxyethanol. May Contain: Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Bismuth Oxychloride (CI 77163), Blue 1 Lake (CI 42090), Carmine (CI 75470), Ferric Ammonium Ferrocyanide (CI 77510), Ferric Ferrocyanide (CI 77510), Manganese Violet (CI 77742), Red 6 (CI 15850), Red 7 Lake (CI 15850), Red 22 Lake (CI 45380), Red 28 Lake (CI 45410), Red 30 Lake (CI 73360), Red 33 Lake (CI 17200), Red 34 Lake (CI 15880), Red 36 Lake (CI 12085), Ultramarines (CI 77007), Yellow 5 Lake (CI 19140), Yellow 6 Lake (CI 15985).Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",https://www.ulta.com/cali-kissed-highlight-blush-palette?productId=pimprod2004526,Ulta
